date,tvl,apy,apy_base,apy_reward
2025-05-10,539318,0,0,0
2025-05-11,539318,0,0,0
2025-05-12,539318,0,0,0
2025-05-13,539318,0,0,0
2025-05-14,539318,0,0,0
2025-05-15,539318,0,0,0
2025-05-16,539318,0,0,0
2025-05-17,539318,0,0,0
2025-05-19,539318,0,0,0
2025-05-20,542195,0,0,0
2025-05-21,542195,0,0,0
2025-05-22,542195,0,0,0
2025-05-23,542195,0,0,0
2025-05-24,543741,0,0,0
2025-05-25,543741,0,0,0
2025-05-26,543741,0,0,0
2025-05-27,543741,0,0,0
2025-05-28,543741,0,0,0
2025-05-29,543741,0,0,0
2025-05-30,543741,0,0,0
2025-05-31,543741,0,0,0
2025-06-01,543741,0,0,0
2025-06-02,543741,0,0,0
2025-06-03,543741,0,0,0
2025-06-04,543741,0,0,0
