date,tvl,apy,apy_base,apy_reward
2024-08-07,282943,0.0,0.0,0.0
2024-08-08,538601,0.0,0.0,0.0
2024-08-09,563375,0.0,0.0,0.0
2024-08-10,654309,0.0,0.0,0.0
2024-08-11,664941,0.0,0.0,0.0
2024-08-12,638278,0.03953,0.03953,0.0
2024-08-13,822259,0.03836,0.03836,0.0
2024-08-14,775593,0.04473,0.04473,0.0
2024-08-15,564672,0.0,0.0,0.0
2024-08-16,559487,0.01127,0.01127,0.0
2024-08-17,618166,0.0102,0.0102,0.0
2024-08-18,731263,0.0,0.0,0.0
2024-08-19,645103,0.0,0.0,0.0
2024-08-20,661580,0.0,0.0,0.0
2024-08-21,681469,0.0,0.0,0.0
2024-08-22,739579,0.04691,0.04691,0.0
2024-08-23,814606,0.05033,0.05033,0.0
2024-08-24,811888,0.06216,0.06216,0.0
2024-08-25,916613,0.0585,0.0585,0.0
2024-08-26,759463,0.07892,0.07892,0.0
2024-08-27,777912,0.0,0.0,0.0
2024-08-28,727544,0.0,0.0,0.0
2024-08-29,788059,0.0,0.0,0.0
2024-08-30,911351,0.0,0.0,0.0
2024-08-31,910999,0.0,0.0,0.0
2024-09-01,955670,0.0,0.0,0.0
2024-09-02,956267,0.0033,0.0033,0.0
2024-09-03,847464,0.00372,0.00372,0.0
2024-09-04,841072,0.0075,0.0075,0.0
2024-09-05,1021603,0.00926,0.00926,0.0
2024-09-06,929652,0.00678,0.00678,0.0
2024-09-07,820777,0.01153,0.01153,0.0
2024-09-10,461218,0.02735,0.02735,0.0
2024-09-11,442812,0.04274,0.04274,0.0
2024-09-12,423059,0.02982,0.02982,0.0
2024-09-13,419758,0.03005,0.03005,0.0
2024-09-14,409813,0.03078,0.03078,0.0
2024-09-15,409328,0.03853,0.03853,0.0
2024-09-16,399242,0.0395,0.0395,0.0
2024-09-17,379174,0.0832,0.0832,0.0
2024-09-18,372101,0.16114,0.16114,0.0
2024-09-19,365258,0.28532,0.28532,0.0
