date,tvl,apy,apy_base,apy_reward
2025-05-12,844062,3e-05,3e-05,0.0
2025-05-13,2568889,4.77098,3.96843,0.80255
2025-05-14,2533885,4.38127,3.59358,0.78769
2025-05-15,2534075,6.63053,6.09772,0.53281
2025-05-16,2534397,7.40884,6.97401,0.43483
2025-05-17,2534465,7.17742,6.78204,0.39538
2025-05-19,1372843,18.31966,18.31966,0.0
2025-05-20,1373041,5.38675,4.70646,0.68029
2025-05-21,1373232,5.50227,4.79602,0.70625
2025-05-22,1373298,5.76266,5.05833,0.70433
2025-05-23,1373438,5.60132,5.02823,0.57309
2025-05-24,1373722,6.39445,5.93436,0.46009
2025-05-25,1373975,5.35695,4.831,0.52595
2025-05-26,1374022,5.11467,4.55762,0.55705
2025-05-27,1374145,5.14436,4.56692,0.57744
2025-05-28,1374387,5.32066,4.82208,0.49858
2025-05-29,1374530,5.37533,4.88563,0.4897
2025-05-30,1374871,5.32632,4.89791,0.42841
2025-05-31,1375009,5.38889,5.01392,0.37497
2025-06-01,1355156,6.51576,6.20275,0.31302
2025-06-02,1355286,6.53748,6.24385,0.29363
2025-06-03,1355545,6.73539,6.42352,0.31186
2025-06-04,1352434,8.6864,8.6864,0.0
