date,tvl,apy,apy_base,apy_reward
2025-03-18,100024,4.59131,3.92608,0.66523
2025-03-19,99926,5.80642,5.21365,0.59277
2025-03-20,99986,5.65402,5.05705,0.59696
2025-03-21,100083,7.95203,7.95203,0.0
2025-03-22,100059,4.86816,4.33898,0.52918
2025-03-23,100049,6.59226,6.11183,0.48043
2025-03-24,100012,5.58402,4.93366,0.65036
2025-03-25,100007,4.22602,3.37074,0.85528
2025-03-26,100056,4.2216,3.34596,0.87564
2025-03-27,100119,4.31216,3.34386,0.9683
2025-03-28,100220,4.09934,3.29281,0.80652
2025-03-29,100027,4.15983,3.44534,0.71448
2025-03-30,100223,3.46138,2.71343,0.74795
2025-03-31,100167,3.88015,3.20136,0.6788
2025-04-01,100147,4.05696,3.3787,0.67826
2025-04-02,100123,3.94419,3.31776,0.62643
2025-04-03,99868,4.21595,3.66874,0.54721
2025-04-04,99983,10.26971,10.12607,0.14364
2025-04-05,1110579,5.64343,5.2364,0.40702
2025-04-06,1107714,6.55741,6.55741,0.0
2025-04-07,1109767,3.46121,3.46121,0.0
2025-04-08,1109369,3.77375,3.3308,0.44295
2025-04-09,1109558,5.28541,4.89667,0.38874
2025-04-10,1109690,4.92793,4.56455,0.36338
2025-04-11,1109887,5.88078,5.61592,0.26486
2025-04-12,1109997,6.00061,5.71332,0.28729
2025-04-13,1110149,3.80345,3.35193,0.45152
2025-04-14,1110287,4.1844,3.76527,0.41913
2025-04-15,1110322,3.8094,3.43317,0.37623
2025-04-16,1110415,3.84232,3.4857,0.35662
2025-04-17,1110611,3.74149,3.31941,0.42208
2025-04-18,1110680,3.5963,3.41717,0.17913
2025-04-19,1110779,3.69838,3.50856,0.18982
2025-04-20,1110906,3.26724,3.04461,0.22263
2025-04-21,1110950,3.44272,3.23741,0.20531
2025-04-22,1111101,3.83124,3.62332,0.20792
2025-04-23,1111179,5.15644,5.01772,0.13872
2025-04-24,1111407,4.04001,3.76117,0.27884
2025-04-25,1111435,4.81758,4.59739,0.22019
2025-04-26,1111713,7.25023,7.24111,0.00912
2025-04-27,1265472,7.01091,7.01091,0.0
2025-04-28,1365839,7.77855,7.77855,0.0
2025-04-29,1386113,4.09201,3.77562,0.31639
2025-04-30,1386223,3.58125,3.21672,0.36453
2025-05-01,1112575,4.21095,3.76287,0.44808
2025-05-02,1112726,5.28053,4.95786,0.32267
2025-05-03,1112890,6.80597,6.69352,0.11246
2025-05-04,1113054,5.5473,5.28461,0.26269
2025-05-05,1113189,4.10402,3.67145,0.43257
2025-05-06,1113338,4.19945,3.67786,0.52159
2025-05-07,1113436,4.3337,3.8529,0.4808
2025-05-08,1113534,4.18887,3.49579,0.69308
2025-05-09,1113721,4.28774,3.60757,0.68016
2025-05-10,1113799,4.31944,3.51079,0.80864
2025-05-11,1113889,4.32107,3.5689,0.75218
2025-05-12,1113974,4.39964,3.67384,0.72579
2025-05-13,1114187,4.61421,3.79425,0.81996
2025-05-14,1114248,6.04081,5.43754,0.60328
2025-05-15,1114310,4.37825,3.59495,0.7833
2025-05-16,1114354,4.39348,3.62323,0.77024
2025-05-17,1114373,4.33968,3.629,0.71068
2025-05-19,1114713,5.50033,4.85855,0.64179
2025-05-20,1114831,5.07316,4.35787,0.7153
2025-05-21,1114960,4.82077,4.11421,0.70655
2025-05-22,101321,10.88579,10.80359,0.0822
2025-05-23,101339,11.23791,11.23791,0.0
2025-05-24,101371,9.81696,9.73689,0.08006
2025-05-25,116400,9.5914,9.53699,0.05441
2025-05-26,116410,7.10838,6.77282,0.33556
2025-05-27,116426,7.23082,6.88522,0.3456
2025-05-28,116453,7.45085,7.18931,0.26154
2025-05-29,116471,7.90492,7.69672,0.2082
2025-05-30,116509,8.43007,8.347,0.08307
2025-05-31,116530,8.3876,8.30067,0.08693
2025-06-01,116547,8.50881,8.41764,0.09117
2025-06-02,116563,9.10743,9.09982,0.00761
2025-06-03,116585,6.4007,6.05158,0.34912
2025-06-04,116598,6.25172,6.16746,0.08427
