date,tvl,apy,apy_base,apy_reward
2025-05-21,2854,4.98571,4.29749,0.68822
2025-05-22,60271,4.53647,3.74755,0.78892
2025-05-23,70644,8.36619,8.10032,0.26587
2025-05-24,239304,6.11675,5.62556,0.49119
2025-05-25,359127,6.02958,5.57843,0.45115
2025-05-26,359136,4.67057,4.06413,0.60644
2025-05-27,200686,4.6778,4.04854,0.62927
2025-05-28,200717,4.47206,3.87909,0.59297
2025-05-29,450706,4.61617,4.04211,0.57406
2025-05-30,452753,5.54185,5.13737,0.40448
2025-05-31,452791,4.34109,3.80452,0.53657
2025-06-01,452777,3.97761,3.38227,0.59534
2025-06-02,452792,4.06305,3.49417,0.56888
2025-06-03,452846,4.1336,3.53258,0.60103
2025-06-04,531073,3.93861,3.59719,0.34142
