date,tvl,apy,apy_base,apy_reward
2024-06-06,450063014,14.26367,14.26367,0.0
2024-06-07,499844422,11.51851,11.51851,0.0
2024-06-08,499920387,12.03498,12.03498,0.0
2024-06-09,499611773,14.98221,14.98221,0.0
2024-06-10,499699941,10.79973,10.79973,0.0
2024-06-11,489005578,11.02591,11.02591,0.0
2024-06-12,500332303,11.3053,11.3053,0.0
2024-06-13,501067346,11.57652,11.57652,0.0
2024-06-14,500147008,11.0467,11.0467,0.0
2024-06-15,501423499,10.95656,10.95656,0.0
2024-06-16,499701277,11.07044,11.07044,0.0
2024-06-17,500720733,11.0382,11.0382,0.0
2024-06-18,500111745,10.85581,10.85581,0.0
2024-06-19,501505456,11.07098,11.07098,0.0
2024-06-20,500053473,12.06384,12.06384,0.0
2024-06-21,500862711,10.76387,10.76387,0.0
2024-06-22,500787644,10.52992,10.52992,0.0
2024-06-23,500380041,10.18417,10.18417,0.0
2024-06-24,499808115,10.26134,10.26134,0.0
2024-06-25,500155807,9.41805,9.41805,0.0
2024-06-26,500725036,9.24091,9.24091,0.0
2024-06-27,500326366,8.93426,8.93426,0.0
2024-06-28,500332170,8.40127,8.40127,0.0
2024-06-29,499603278,8.08574,8.08574,0.0
2024-06-30,498655118,7.94164,7.94164,0.0
2024-07-01,500025641,8.45249,8.45249,0.0
2024-07-02,500127318,8.23511,8.23511,0.0
2024-07-03,501602854,7.93959,7.93959,0.0
2024-07-04,500459712,8.13482,8.13482,0.0
2024-07-05,500266471,8.06744,8.06744,0.0
2024-07-06,498805409,7.91803,7.91803,0.0
2024-07-07,501577298,7.5545,7.5545,0.0
2024-07-08,501657119,7.50236,7.50236,0.0
2024-07-09,499243778,7.29542,7.29542,0.0
2024-07-10,501890988,7.31212,7.31212,0.0
2024-07-11,499114084,7.22596,7.22596,0.0
2024-07-12,501255772,7.12619,7.12619,0.0
2024-07-13,500098752,7.06721,7.06721,0.0
2024-07-14,500402397,8.56489,8.56489,0.0
2024-07-15,500303524,7.84407,7.84407,0.0
2024-07-16,499998168,7.7277,7.7277,0.0
2024-07-17,500858998,7.65134,7.65134,0.0
2024-07-18,501701383,7.39658,7.39658,0.0
2024-07-19,500319540,7.07901,7.07901,0.0
2024-07-20,500812854,7.45928,7.45928,0.0
2024-07-21,499957491,7.46239,7.46239,0.0
2024-07-22,500477101,6.83791,6.83791,0.0
2024-07-23,498567788,6.55114,6.55114,0.0
2024-07-24,449932639,8.92635,8.92635,0.0
2024-07-25,450121075,7.92432,7.92432,0.0
2024-07-26,450470493,7.68758,7.68758,0.0
2024-07-27,450263446,9.2275,9.2275,0.0
2024-07-28,450605711,9.15626,9.15626,0.0
2024-07-29,450148366,11.95422,11.95422,0.0
2024-07-30,449978294,7.88018,7.88018,0.0
2024-07-31,451477511,8.77861,8.77861,0.0
2024-08-01,449917683,7.91418,7.91418,0.0
2024-08-02,450458205,7.72226,7.72226,0.0
2024-08-03,450389184,7.38597,7.38597,0.0
2024-08-04,448897677,6.79855,6.79855,0.0
2024-08-05,450522108,6.90297,6.90297,0.0
2024-08-06,449946751,6.51808,6.51808,0.0
2024-08-07,450309270,6.6946,6.6946,0.0
2024-08-08,449915401,6.50078,6.50078,0.0
2024-08-09,450073004,6.30987,6.30987,0.0
2024-08-10,450139457,5.88136,5.88136,0.0
2024-08-11,449911605,5.54256,5.54256,0.0
2024-08-12,450284792,5.73041,5.73041,0.0
2024-08-13,449988285,5.40193,5.40193,0.0
2024-08-14,448801464,5.63717,5.63717,0.0
2024-08-15,451032656,5.67192,5.67192,0.0
2024-08-16,450080626,5.08302,5.08302,0.0
2024-08-17,450201791,5.12788,5.12788,0.0
2024-08-18,448239711,5.56073,5.56073,0.0
2024-08-19,375130466,7.01118,7.01118,0.0
2024-08-20,376105350,6.27467,6.27467,0.0
2024-08-21,374076843,6.40972,6.40972,0.0
2024-08-22,374983488,6.41217,6.41217,0.0
2024-08-23,375484251,6.55404,6.55404,0.0
2024-08-24,374574916,5.88682,5.88682,0.0
2024-08-25,375044760,5.78482,5.78482,0.0
2024-08-26,349905422,6.94166,6.94166,0.0
2024-08-27,350013240,6.60097,6.60097,0.0
2024-08-28,348882334,6.28082,6.28082,0.0
2024-08-29,350083022,5.92041,5.92041,0.0
2024-08-30,350172797,6.29904,6.29904,0.0
2024-08-31,350139853,6.12178,6.12178,0.0
2024-09-01,347033215,6.17876,6.17876,0.0
2024-09-02,350025545,6.50365,6.50365,0.0
2024-09-03,350026642,6.01339,6.01339,0.0
2024-09-04,350265316,7.66241,7.66241,0.0
2024-09-05,349985494,6.57425,6.57425,0.0
2024-09-06,350123652,6.38049,6.38049,0.0
2024-09-07,351042806,6.35851,6.35851,0.0
2024-09-10,349162549,5.86806,5.86806,0.0
2024-09-11,349405732,5.63644,5.63644,0.0
2024-09-12,349871982,5.60376,5.60376,0.0
2024-09-13,353916134,5.44763,5.44763,0.0
2024-09-14,351082529,5.40699,5.40699,0.0
2024-09-15,350290771,5.60013,5.60013,0.0
2024-09-16,351607349,5.99711,5.99711,0.0
2024-09-17,349812568,6.24241,6.24241,0.0
2024-09-18,350559338,5.85919,5.85919,0.0
2024-09-19,350593567,5.41002,5.41002,0.0
2024-09-20,325039429,8.77794,8.77794,0.0
2024-09-21,325184385,8.84633,8.84633,0.0
2024-09-22,323538354,8.41996,8.41996,0.0
2024-09-23,324991233,8.3962,8.3962,0.0
2024-09-24,325282227,9.93745,9.93745,0.0
2024-09-25,326259088,9.82276,9.82276,0.0
2024-09-26,325502714,9.25963,9.25963,0.0
2024-09-27,325572496,8.15407,8.15407,0.0
2024-09-28,325649114,9.9779,9.9779,0.0
2024-09-29,325683793,8.51283,8.51283,0.0
2024-09-30,325485087,7.94886,7.94886,0.0
2024-10-01,325042251,7.54893,7.54893,0.0
2024-10-02,326130316,7.32952,7.32952,0.0
2024-10-03,325995506,7.06522,7.06522,0.0
2024-10-04,325228537,7.17936,7.17936,0.0
2024-10-05,325289416,6.98933,6.98933,0.0
2024-10-06,324934773,6.93462,6.93462,0.0
2024-10-07,325353222,6.69206,6.69206,0.0
2024-10-08,325484310,6.36598,6.36598,0.0
2024-10-09,326500719,6.33693,6.33693,0.0
2024-10-10,325024379,5.87604,5.87604,0.0
2024-10-11,324802773,5.60885,5.60885,0.0
2024-10-12,325380140,5.56024,5.56024,0.0
2024-10-13,325148281,5.51421,5.51421,0.0
2024-10-14,299982514,6.08729,6.08729,0.0
2024-10-15,300754906,6.06011,6.06011,0.0
2024-10-16,299495138,5.40517,5.40517,0.0
2024-10-17,300083706,4.96179,4.96179,0.0
2024-10-18,299572740,4.881,4.881,0.0
2024-10-19,300382261,4.88402,4.88402,0.0
2024-10-20,300162012,4.7421,4.7421,0.0
2024-10-21,299896038,4.44548,4.44548,0.0
2024-10-22,399884645,4.36956,4.36956,0.0
2024-10-23,399893053,4.91908,4.91908,0.0
2024-10-24,399155794,4.83988,4.83988,0.0
2024-10-25,400078392,6.3933,6.3933,0.0
2024-10-26,400148555,6.45883,6.45883,0.0
2024-10-27,399813925,7.17494,7.17494,0.0
2024-10-28,400698069,9.67067,9.67067,0.0
2024-10-29,400242355,10.18122,10.18122,0.0
2024-10-30,400832503,9.82035,9.82035,0.0
2024-10-31,400241567,11.81142,11.81142,0.0
2024-11-01,402025606,8.40861,8.40861,0.0
2024-11-02,401483270,14.12634,14.12634,0.0
2024-11-03,400802961,8.85007,8.85007,0.0
2024-11-04,399996293,8.07368,8.07368,0.0
2024-11-05,400152363,9.6089,9.6089,0.0
2024-11-06,399658361,9.11093,9.11093,0.0
2024-11-07,400304301,9.93378,9.93378,0.0
2024-11-08,400239605,8.27978,8.27978,0.0
2024-11-09,400354088,9.74739,9.74739,0.0
2024-11-10,400475834,12.32443,12.32443,0.0
2024-11-11,399864989,11.80283,11.80283,0.0
2024-11-12,400238527,14.02921,14.02921,0.0
2024-11-13,399205985,10.18072,10.18072,0.0
2024-11-14,399964020,11.07916,11.07916,0.0
2024-11-15,400114746,12.02854,12.02854,0.0
2024-11-16,399684583,16.08145,16.08145,0.0
2024-11-17,399105933,10.9911,10.9911,0.0
2024-11-18,400728327,13.03958,13.03958,0.0
2024-11-19,501020927,8.31865,8.31865,0.0
2024-11-20,599878363,8.50164,8.50164,0.0
2024-11-21,599168681,9.64811,9.64811,0.0
2024-11-22,600396959,14.84102,14.84102,0.0
2024-11-23,600385766,13.0624,13.0624,0.0
2024-11-24,602122010,14.16124,14.16124,0.0
2024-11-25,649727118,9.31021,9.31021,0.0
2024-11-26,650783303,13.97928,13.97928,0.0
2024-11-27,650140338,12.75887,12.75887,0.0
2024-11-28,651732257,15.77385,15.77385,0.0
2024-11-29,650968250,16.55564,16.55564,0.0
2024-11-30,651238022,19.61022,19.61022,0.0
2024-12-01,651544377,14.28645,14.28645,0.0
2024-12-02,651096994,17.54248,17.54248,0.0
2024-12-03,749752672,15.4841,15.4841,0.0
2024-12-04,750685273,17.25386,17.25386,0.0
2024-12-05,702574801,15.44586,15.44586,0.0
2024-12-06,698976046,13.6047,13.6047,0.0
2024-12-07,700413714,18.18713,18.18713,0.0
2024-12-08,701006785,17.78604,17.78604,0.0
2024-12-09,700023897,25.01879,25.01879,0.0
2024-12-10,698296546,19.46822,19.46822,0.0
2024-12-11,701103814,17.03094,17.03094,0.0
2024-12-12,701544849,14.39563,14.39563,0.0
2024-12-13,697949914,19.24616,19.24616,0.0
2024-12-14,700331879,14.368,14.368,0.0
2024-12-15,700659417,17.11605,17.11605,0.0
2024-12-16,701107611,19.02383,19.02383,0.0
2024-12-17,701218474,15.25932,15.25932,0.0
2024-12-18,700658895,16.09419,16.09419,0.0
2024-12-19,723708027,14.67069,14.67069,0.0
2024-12-20,726112384,14.45863,14.45863,0.0
2024-12-21,725649822,14.20756,14.20756,0.0
2024-12-22,724720152,13.28098,13.28098,0.0
2024-12-23,722627960,15.11916,15.11916,0.0
2024-12-24,725379760,13.00264,13.00264,0.0
2024-12-25,725615776,11.86261,11.86261,0.0
2024-12-26,674932976,13.9931,13.9931,0.0
2024-12-27,675193084,12.17521,12.17521,0.0
2024-12-28,675377113,12.62946,12.62946,0.0
2024-12-29,675967670,11.6791,11.6791,0.0
