date,tvl,apy,apy_base,apy_reward
2025-03-01,4852,0.00042,0.00042,0.0
2025-03-02,4852,0.00039,0.00039,0.0
2025-03-03,2502,0.01644,0.00071,0.01572
2025-03-04,2503,0.00063,0.00063,0.0
2025-03-05,2503,0.00056,0.00056,0.0
2025-03-06,2503,0.00049,0.00049,0.0
2025-03-07,2504,0.00044,0.00044,0.0
2025-03-08,2504,0.00039,0.00039,0.0
2025-03-09,2504,0.00037,0.00037,0.0
2025-03-10,1487772,0.0,0.0,0.0
2025-03-11,6064541,0.0,0.0,0.0
2025-03-12,8022108,0.0,0.0,0.0
2025-03-13,18250070,0.01486,0.01486,0.0
2025-03-14,20910047,0.01124,0.01124,0.0
2025-03-15,20910047,0.01124,0.01124,0.0
2025-03-16,20910047,0.01124,0.01124,0.0
2025-03-17,20910047,0.01123,0.01123,0.0
2025-03-18,37887556,0.00372,0.00372,0.0
2025-03-19,38684338,0.00116,0.00116,0.0
2025-03-20,43394295,0.00083,0.00083,0.0
2025-03-21,35490577,0.00091,0.00091,0.0
2025-03-22,37215129,0.00076,0.00076,0.0
2025-03-23,37678772,0.00064,0.00064,0.0
2025-03-24,32940723,0.00065,0.00065,0.0
2025-03-25,36413208,0.00052,0.00052,0.0
2025-03-26,28935478,0.0006,0.0006,0.0
2025-03-27,33950536,0.00045,0.00045,0.0
2025-03-28,32784299,0.00043,0.00043,0.0
2025-03-29,33147884,0.00037,0.00037,0.0
2025-03-30,35151903,0.00031,0.00031,0.0
2025-03-31,40197029,0.00025,0.00025,0.0
2025-04-01,41938987,0.00025,0.00025,0.0
2025-04-02,42966183,0.00024,0.00024,0.0
2025-04-03,43124098,0.00024,0.00024,0.0
2025-04-04,39448413,0.0,0.0,0.0
2025-04-05,29644539,0.0,0.0,0.0
2025-04-06,27704806,0.0,0.0,0.0
2025-04-07,27598228,0.0,0.0,0.0
2025-04-08,5290713,0.0,0.0,0.0
2025-04-09,3271234,0.0,0.0,0.0
2025-04-10,3145945,0.0,0.0,0.0
2025-04-11,3121373,0.0,0.0,0.0
2025-04-12,2998130,0.0,0.0,0.0
2025-04-13,2997645,0.0,0.0,0.0
2025-04-14,2982299,0.0,0.0,0.0
2025-04-15,2978293,0.0,0.0,0.0
2025-04-16,2712095,0.0,0.0,0.0
2025-04-17,2662081,0.0,0.0,0.0
2025-04-18,2538423,0.0,0.0,0.0
2025-04-19,2538250,0.0,0.0,0.0
2025-04-20,2538586,0.0,0.0,0.0
2025-04-21,2532262,0.0,0.0,0.0
2025-04-22,2406837,0.0,0.0,0.0
2025-04-23,1400051,0.00208,0.00208,0.0
2025-04-24,1373214,0.00221,0.00221,0.0
2025-04-25,1386330,0.0023,0.0023,0.0
2025-04-26,1383358,0.00238,0.00238,0.0
2025-04-27,1378718,0.00247,0.00247,0.0
2025-04-28,1378378,0.00256,0.00256,0.0
2025-04-29,1372318,0.00266,0.00266,0.0
2025-04-30,1372311,0.00275,0.00275,0.0
2025-05-01,1367052,0.0,0.0,0.0
2025-05-02,1367260,0.0,0.0,0.0
2025-05-03,1304062,0.0,0.0,0.0
2025-05-04,1304317,0.0,0.0,0.0
2025-05-05,1304442,0.0,0.0,0.0
2025-05-06,1254169,0.0042,0.0042,0.0
2025-05-07,1254244,0.00426,0.00426,0.0
2025-05-08,1222685,0.00443,0.00443,0.0
2025-05-09,1222915,0.00448,0.00448,0.0
2025-05-10,1223078,0.00453,0.00453,0.0
2025-05-11,1220841,0.00879,0.00879,0.0
2025-05-12,1209167,0.0136,0.0136,0.0
2025-05-13,1207777,0.01373,0.01373,0.0
2025-05-14,1207986,0.01806,0.01806,0.0
2025-05-15,1208154,0.01817,0.01817,0.0
2025-05-16,1208392,0.01828,0.01828,0.0
2025-05-17,1208263,0.0183,0.0183,0.0
2025-05-19,1208953,0.09411,0.09411,0.0
2025-05-20,1209006,0.12162,0.12162,0.0
2025-05-21,1207021,0.03176,0.03176,0.0
2025-05-22,1203779,0.03177,0.03177,0.0
2025-05-23,1203934,0.18245,0.18245,0.0
2025-05-24,1156672,0.09012,0.09012,0.0
2025-05-25,1156855,0.09291,0.09291,0.0
2025-05-26,1157041,0.09579,0.09579,0.0
2025-05-27,1157127,0.09875,0.09875,0.0
2025-05-28,1154746,0.04911,0.04911,0.0
2025-05-29,1154955,0.0,0.0,0.0
2025-05-30,1155041,0.0,0.0,0.0
2025-05-31,1155320,0.0,0.0,0.0
2025-06-01,1155316,0.0,0.0,0.0
2025-06-02,1155702,0.0,0.0,0.0
2025-06-03,733205,0.0,0.0,0.0
2025-06-04,684468,0.0,0.0,0.0
