date,tvl,apy,apy_base,apy_reward
2024-08-27,49997,0.56926,0.56926,0.0
2024-08-28,837817,13.39525,1.51706,11.87819
2024-08-29,1321360,9.85812,1.93725,7.92087
2024-08-30,1319722,9.89311,2.08611,7.807
2024-08-31,1319710,10.02772,2.1836,7.84412
2024-09-01,1319815,10.56247,2.28605,8.27642
2024-09-02,1339110,10.59858,2.34664,8.25193
2024-09-03,1359217,9.58382,2.03658,7.54724
2024-09-04,1359866,9.69483,2.16119,7.53363
2024-09-05,1859898,6.14856,0.65319,5.49536
2024-09-06,1841940,7.16381,3.14579,4.01802
2024-09-07,1860334,7.0888,3.03218,4.05662
2024-09-10,1882486,4.11442,4.11442,0.0
2024-09-11,1882814,4.29717,4.29717,0.0
2024-09-12,1881953,4.988,4.988,0.0
2024-09-13,1888376,4.70636,4.70636,0.0
2024-09-14,1888610,4.86669,4.86669,0.0
2024-09-15,1888612,5.38618,5.38618,0.0
2024-09-16,1888743,5.57201,5.57201,0.0
2024-09-17,1889313,5.76512,5.76512,0.0
2024-09-18,1889501,6.5685,6.5685,0.0
2024-09-19,1990342,3.52753,3.52753,0.0
2024-09-20,1990238,2.62579,2.62579,0.0
2024-09-21,1990847,5.44173,5.44173,0.0
2024-09-22,1991275,5.55953,5.55953,0.0
2024-09-23,1991682,5.68241,5.68241,0.0
2024-09-24,1840607,4.26008,4.26008,0.0
2024-09-25,1840636,4.29709,4.29709,0.0
2024-09-26,1800938,6.00609,6.00609,0.0
2024-09-27,1803726,6.09475,6.09475,0.0
2024-09-28,1804006,6.27338,6.27338,0.0
2024-09-29,1804368,6.38933,6.38933,0.0
2024-09-30,1804644,4.79428,4.79428,0.0
2024-10-01,2180124,7.53325,7.53325,0.0
2024-10-02,2180661,3.80453,3.80453,0.0
2024-10-03,2180293,3.8126,3.8126,0.0
2024-10-04,2009770,3.79358,3.79358,0.0
2024-10-05,2010045,3.79155,3.79155,0.0
2024-10-06,2010184,3.78953,3.78953,0.0
2024-10-07,2010655,3.78226,3.78226,0.0
2024-10-08,2010628,3.78187,3.78187,0.0
2024-10-09,2008279,3.78306,3.78306,0.0
2024-10-10,2008678,3.78104,3.78104,0.0
2024-10-11,2008895,4.63942,4.63942,0.0
2024-10-12,2009126,4.66018,4.66018,0.0
2024-10-13,2009146,4.68257,4.68257,0.0
2024-10-14,2009459,4.70496,4.70496,0.0
2024-10-15,2008054,4.97044,4.97044,0.0
2024-10-16,2007680,8.24561,8.24561,0.0
2024-10-17,2007960,4.59495,4.59495,0.0
2024-10-18,1992412,5.29153,5.29153,0.0
2024-10-19,1992647,5.32241,5.32241,0.0
2024-10-20,1992860,5.43166,5.43166,0.0
2024-10-21,1993151,5.46421,5.46421,0.0
2024-10-22,1993351,5.49023,5.49023,0.0
2024-10-23,1993684,5.52761,5.52761,0.0
2024-10-24,1994102,5.56013,5.56013,0.0
2024-10-25,1994417,4.57759,4.57759,0.0
2024-10-26,1992847,4.65885,4.65885,0.0
2024-10-27,1993216,4.66157,4.66157,0.0
2024-10-28,1993546,4.66595,4.66595,0.0
2024-10-29,1993777,4.66889,4.66889,0.0
2024-10-30,1993989,4.67182,4.67182,0.0
2024-10-31,1994362,4.67477,4.67477,0.0
2024-11-01,1993889,3.70787,3.70787,0.0
2024-11-02,1994047,3.67952,3.67952,0.0
2024-11-03,1893467,3.82996,3.82996,0.0
2024-11-04,1893348,3.80907,3.80907,0.0
2024-11-05,1887501,3.76168,3.76168,0.0
2024-11-06,1887654,3.74169,3.74169,0.0
2024-11-07,1812776,4.08404,4.08404,0.0
2024-11-08,1825785,4.14449,4.14449,0.0
2024-11-09,1621950,11.28237,11.28237,0.0
2024-11-10,1622565,11.66168,11.66168,0.0
2024-11-11,1623327,12.64718,12.64718,0.0
2024-11-12,1623592,4.79262,4.79262,0.0
2024-11-13,1624013,4.77921,4.77921,0.0
2024-11-14,1623136,4.74815,4.74815,0.0
2024-11-15,1623258,4.72278,4.72278,0.0
2024-11-16,1623353,4.70975,4.70975,0.0
2024-11-17,1623566,4.69677,4.69677,0.0
2024-11-18,1623795,4.63744,4.63744,0.0
2024-11-19,1374158,16.14961,16.14961,0.0
2024-11-20,1374567,4.87275,4.87275,0.0
2024-11-21,1374827,4.83461,4.83461,0.0
2024-11-22,1374899,4.79655,4.79655,0.0
2024-11-23,1476345,4.39635,4.39635,0.0
2024-11-24,1476597,4.33695,4.33695,0.0
2024-11-25,1045047,2.79268,2.79268,0.0
2024-11-26,1024560,2.73053,2.73053,0.0
2024-11-27,1024687,2.62242,2.62242,0.0
2024-11-28,1024752,2.51761,2.51761,0.0
2024-11-29,1024788,2.41799,2.41799,0.0
2024-11-30,1024910,2.32291,2.32291,0.0
2024-12-01,1024954,2.23235,2.23235,0.0
2024-12-02,1023946,2.17951,2.17951,0.0
2024-12-03,671138,7.53293,7.53293,0.0
2024-12-04,671229,7.83289,7.83289,0.0
2024-12-05,671316,8.13744,8.13744,0.0
2024-12-06,671491,8.45846,8.45846,0.0
2024-12-07,671627,8.79038,8.79038,0.0
2024-12-08,671797,9.13527,9.13527,0.0
2024-12-09,671961,9.49263,9.49263,0.0
2024-12-10,673258,9.74206,9.74206,0.0
2024-12-11,673441,10.12112,10.12112,0.0
2024-12-12,676356,10.19197,10.19197,0.0
2024-12-13,676543,10.56621,10.56621,0.0
2024-12-14,678760,10.69176,10.69176,0.0
2024-12-15,679001,11.06581,11.06581,0.0
2024-12-16,777130,9.83589,9.83589,0.0
2024-12-17,830333,6.13731,6.13731,0.0
2024-12-18,830523,23.83354,23.83354,0.0
2024-12-19,813562,6.4278,6.4278,0.0
2024-12-20,564116,13.98843,13.98843,0.0
2024-12-21,623319,6.80029,6.80029,0.0
2024-12-22,691485,6.18373,6.18373,0.0
