date,tvl,apy,apy_base,apy_reward
2025-01-06,499974,0.0,0.0,0.0
2025-01-07,524531,10.72189,10.72189,0.0
2025-01-08,2608797,3.24095,3.24095,0.0
2025-01-09,2619208,3.60486,3.60486,0.0
2025-01-10,2614781,14.14651,14.14651,0.0
2025-01-11,2818597,15.23857,15.23857,0.0
2025-01-12,2918359,12.55984,12.55984,0.0
2025-01-13,3018027,8.64306,8.64306,0.0
2025-01-14,4179146,13.61902,13.61902,0.0
2025-01-15,6044012,2.62455,2.62455,0.0
2025-01-16,6036003,2.5356,2.5356,0.0
2025-01-17,5836734,3.1948,3.1948,0.0
2025-01-18,5840230,3.13408,3.13408,0.0
2025-01-19,5839115,3.07455,3.07455,0.0
2025-01-20,5840005,8.0416,8.0416,0.0
2025-01-21,5507543,9.50145,9.50145,0.0
2025-01-22,5803828,13.06308,13.06308,0.0
2025-01-23,5484964,9.91557,9.91557,0.0
2025-01-24,5522838,13.17729,9.37093,3.80635
2025-01-25,5499667,13.27776,10.20037,3.07739
2025-01-26,5594434,10.95564,7.65545,3.30019
2025-01-27,5389863,12.8028,9.54298,3.25982
2025-01-28,5642670,13.0105,9.72583,3.28467
2025-01-29,5448024,12.31481,8.74222,3.57259
2025-01-30,5451318,14.13561,10.75993,3.37568
2025-01-31,5557514,13.69595,11.62493,2.07102
2025-02-01,5924729,15.79377,14.09141,1.70235
2025-02-02,5985284,13.19316,11.77434,1.41882
2025-02-03,6301227,8.70318,6.94444,1.75874
2025-02-04,5983750,15.76686,14.70485,1.06201
2025-02-05,6014251,13.0791,11.84481,1.23428
2025-02-06,6010842,13.30449,12.12808,1.17642
2025-02-07,6002489,11.33876,10.08948,1.24928
2025-02-08,5950536,12.35927,10.93613,1.42314
2025-02-09,5977245,12.02368,10.65965,1.36403
2025-02-10,5800643,11.41727,9.96687,1.4504
2025-02-11,5805012,7.92279,6.46625,1.45655
2025-02-12,5824760,10.98127,9.66764,1.31364
2025-02-13,5825765,9.32392,7.84528,1.47863
2025-02-14,5827181,9.19833,7.63228,1.56606
2025-02-15,5833092,8.49686,6.91028,1.58659
2025-02-16,5833282,7.05628,5.44626,1.61002
2025-02-17,5775029,5.91494,4.1874,1.72753
2025-02-18,6000992,9.1231,7.70765,1.41544
2025-02-19,6019506,9.38552,7.79418,1.59134
2025-02-20,6027346,9.47161,7.77887,1.69274
2025-02-21,3666050,10.07632,8.57064,1.50569
2025-02-22,3637474,8.64823,6.85839,1.78983
2025-02-23,3623509,8.88539,7.13621,1.74917
2025-02-24,3291797,9.2369,7.67016,1.56674
2025-02-25,3300912,11.10987,10.08183,1.02804
2025-02-26,3369617,10.96215,9.74663,1.21552
2025-02-27,3406105,14.62107,13.38538,1.23569
2025-02-28,3356891,10.03909,8.69839,1.3407
2025-03-01,3363749,10.34092,9.12633,1.2146
2025-03-02,3365217,10.37736,9.00263,1.37473
2025-03-03,3356447,9.2344,8.18451,1.04989
2025-03-04,3362416,9.19841,8.23915,0.95926
2025-03-05,3361931,8.88535,7.85884,1.02652
2025-03-06,3361328,8.1222,7.20002,0.92218
2025-03-07,3367401,8.12018,7.22154,0.89864
2025-03-08,3314804,7.72619,6.8305,0.89569
2025-03-09,3317842,7.39123,6.67846,0.71278
2025-03-10,3316047,7.26532,6.63071,0.63462
2025-03-11,3312352,6.97657,6.2959,0.68068
2025-03-12,3317269,7.04011,6.3141,0.726
2025-03-13,3317562,6.76133,6.02263,0.7387
2025-03-14,3319648,6.75591,5.988,0.76791
2025-03-15,3319648,6.75591,5.988,0.76791
2025-03-16,3319648,6.75591,5.988,0.76791
2025-03-17,3319648,6.75591,5.988,0.76791
2025-03-18,3319990,3.41867,2.48512,0.93355
2025-03-19,3316582,3.34025,2.34326,0.99699
2025-03-20,3027232,3.55855,2.58512,0.97343
2025-03-21,3029867,3.46752,2.48032,0.9872
2025-03-22,2974833,3.42757,2.42474,1.00284
2025-03-23,2974332,3.27695,2.28954,0.98741
2025-03-24,2973039,3.2256,2.17853,1.04707
2025-03-25,2972711,3.16151,2.07264,1.08887
2025-03-26,2974055,3.08341,1.97194,1.11147
2025-03-27,2899634,3.16657,1.96185,1.20472
2025-03-28,2902469,2.91318,1.87091,1.04226
2025-03-29,2896745,2.75395,1.78428,0.96967
2025-03-30,2902355,2.63636,1.7019,0.93446
2025-03-31,2843891,2.58514,1.67769,0.90745
2025-04-01,2843205,2.5399,1.6037,0.93619
2025-04-02,2842384,2.41406,1.53233,0.88174
2025-04-03,2834941,2.30529,1.46423,0.84105
2025-04-04,2842447,2.27424,1.39907,0.87516
2025-04-05,2847594,2.20114,1.33683,0.86431
2025-04-06,2840020,1.95066,1.27736,0.6733
2025-04-07,2845124,1.22056,1.22056,0.0
2025-04-08,2335698,2.334,1.64006,0.69395
2025-04-09,2335961,2.39758,1.59884,0.79873
2025-04-10,2336061,2.30084,1.55878,0.74206
2025-04-11,2336159,2.2703,1.51963,0.75067
2025-04-12,2336208,2.26648,1.48139,0.78509
2025-04-13,2336332,2.15878,1.44427,0.71451
2025-04-14,2336427,2.13334,1.40794,0.72541
2025-04-15,2336363,2.02354,1.3726,0.65094
2025-04-16,2336428,1.97636,1.33815,0.63821
2025-04-17,2336711,1.99387,1.30498,0.68889
2025-04-18,2336732,1.7294,1.2722,0.4572
2025-04-19,2336817,1.90258,1.43364,0.46894
2025-04-20,2336989,2.37158,1.94181,0.42976
2025-04-21,2336974,1.9302,1.47499,0.45521
2025-04-22,2337184,1.96917,1.47259,0.49658
2025-04-23,2337130,2.03743,1.47019,0.56724
2025-04-24,2337391,2.04937,1.46779,0.58158
2025-04-25,2337249,2.07213,1.4654,0.60672
2025-04-26,2337512,2.12374,1.46302,0.66072
2025-04-27,2337526,2.08778,1.46064,0.62713
2025-04-28,2337832,2.06935,1.45826,0.61108
2025-04-29,2337717,2.07779,1.45589,0.6219
2025-04-30,2337769,2.0809,1.46815,0.61275
2025-05-01,2337973,2.21903,1.46807,0.75096
2025-05-02,2338047,2.21312,1.46799,0.74513
2025-05-03,2338105,2.17632,1.46791,0.70841
2025-05-04,2338257,2.18559,1.46783,0.71776
2025-05-05,2338326,2.19403,1.46774,0.72628
2025-05-06,2338505,2.2836,1.46766,0.81594
2025-05-07,2338533,0.00021,0.00021,0.0
2025-05-08,2338496,0.00021,0.00021,0.0
2025-05-09,2338617,0.00022,0.00022,0.0
2025-05-10,2338556,0.00022,0.00022,0.0
2025-05-11,2338512,0.00022,0.00022,0.0
2025-05-12,57124,0.00881,0.00881,0.0
2025-05-13,57129,0.00878,0.00878,0.0
2025-05-14,57125,0.00874,0.00874,0.0
2025-05-15,57122,0.00871,0.00871,0.0
2025-05-16,57119,0.00868,0.00868,0.0
2025-05-17,57119,0.00867,0.00867,0.0
2025-05-19,57119,0.00879,0.00879,0.0
2025-05-20,57118,0.00889,0.00889,0.0
2025-05-21,57118,0.00887,0.00887,0.0
2025-05-22,57114,0.00885,0.00885,0.0
2025-05-23,57112,0.00883,0.00883,0.0
2025-05-24,57116,0.0088,0.0088,0.0
2025-05-25,57120,0.00878,0.00878,0.0
2025-05-26,57115,0.00876,0.00876,0.0
2025-05-27,57113,0.00874,0.00874,0.0
2025-05-28,57116,0.00916,0.00916,0.0
2025-05-29,57114,0.00909,0.00909,0.0
2025-05-30,57121,0.00902,0.00902,0.0
2025-05-31,57119,0.00895,0.00895,0.0
2025-06-01,57117,0.00889,0.00889,0.0
2025-06-02,57113,0.00882,0.00882,0.0
2025-06-03,57114,0.00875,0.00875,0.0
2025-06-04,57112,0.00869,0.00869,0.0
