date,tvl,apy,apy_base,apy_reward
2024-06-06,457614,7.45021,0.0,7.45021
2024-06-07,39948,228.44383,0.0,228.44383
2024-06-08,44897,196.15664,0.0,196.15664
2024-06-09,150025,60.51618,8e-05,60.5161
2024-06-10,137060,62.40535,8e-05,62.40527
2024-06-11,117301,66.4099,0.0001,66.4098
2024-06-12,137970,57.1048,8e-05,57.10471
2024-06-13,139348,45.5126,8e-05,45.51251
2024-06-14,148195,40.68712,8e-05,40.68704
2024-06-15,147936,45.96009,8e-05,45.96001
2024-06-16,147990,48.78134,8e-05,48.78126
2024-06-17,147920,47.11835,8e-05,47.11828
2024-06-18,147794,49.01175,8e-05,49.01168
2024-06-19,147775,48.33422,8e-05,48.33415
2024-06-20,202637,37.13326,6e-05,37.1332
2024-06-21,227935,31.54168,5e-05,31.54163
2024-06-22,227933,32.14298,5e-05,32.14293
2024-06-23,278287,26.12685,4e-05,26.12681
2024-06-24,547106,13.1857,2e-05,13.18568
2024-06-25,547523,13.08369,2e-05,13.08367
2024-06-26,422376,14.57708,0.00168,14.5754
2024-06-27,394230,14.42862,0.00414,14.42448
2024-06-28,394265,13.59624,0.00414,13.5921
2024-06-29,392207,13.66356,0.0043,13.65927
2024-06-30,392385,13.76893,0.0043,13.76463
2024-07-01,392394,13.84452,0.0043,13.84022
2024-07-02,241176,13.83822,0.02919,13.80902
2024-07-03,240932,13.23018,0.02919,13.20099
2024-07-04,392818,12.39004,0.0043,12.38574
2024-07-05,397260,11.49977,0.00405,11.49572
2024-07-06,395858,12.80624,0.00405,12.80219
2024-07-07,395733,0.00405,0.00405,0.0
2024-07-08,396037,0.00405,0.00405,0.0
2024-07-09,346597,0.00471,0.00471,0.0
2024-07-10,346347,0.00471,0.00471,0.0
2024-07-13,8757,0.156,0.156,0.0
2024-07-14,2092,0.51634,0.51634,0.0
2024-07-22,152000,1.60439,1.60439,0.0
2024-07-23,152845,1.74857,1.74857,0.0
2024-07-24,148300,1.89574,1.89574,0.0
2024-07-25,143925,2.05996,2.05996,0.0
2024-07-26,148132,3.66765,3.66765,0.0
2024-07-27,113582,3.92293,3.92293,0.0
2024-07-28,113336,4.5428,4.5428,0.0
2024-07-29,115605,3.51621,3.51621,0.0
2024-07-30,115636,3.23354,3.23354,0.0
2024-07-31,116019,3.35022,3.35022,0.0
2024-08-01,118787,3.47277,3.47277,0.0
2024-08-02,117167,3.88338,3.88338,0.0
2024-08-03,115174,3.19222,3.19222,0.0
2024-08-04,110808,7.62721,7.62721,0.0
2024-08-05,110808,8.2016,8.2016,0.0
2024-08-06,110808,8.83613,8.83613,0.0
2024-08-07,110808,9.5711,9.5711,0.0
2024-08-08,107558,5.52938,5.52938,0.0
2024-08-09,106523,7.84608,7.84608,0.0
2024-08-10,108578,5.04267,5.04267,0.0
2024-08-11,108586,5.21904,5.21904,0.0
2024-08-12,108586,5.29388,5.29388,0.0
2024-08-13,109308,4.46447,4.46447,0.0
2024-08-14,109308,4.49416,4.49416,0.0
2024-08-15,117854,4.52822,4.52822,0.0
2024-08-16,127237,2.84724,2.84724,0.0
2024-08-17,127237,2.8261,2.8261,0.0
2024-08-18,127237,2.80458,2.80458,0.0
2024-08-19,127237,2.78327,2.78327,0.0
2024-08-20,120803,2.11985,2.11985,0.0
2024-08-21,107609,0.0,0.0,0.0
2024-08-22,109306,2.83944,2.83944,0.0
2024-08-23,108454,3.14256,3.14256,0.0
2024-08-24,108456,3.14403,3.14403,0.0
2024-08-25,108456,3.14407,3.14407,0.0
2024-08-26,108456,3.1441,3.1441,0.0
2024-08-27,120172,2.25792,2.25792,0.0
2024-08-28,120172,2.23204,2.23204,0.0
2024-08-29,103654,2.68222,2.68222,0.0
2024-08-30,100922,2.89469,2.89469,0.0
2024-08-31,100922,2.89248,2.89248,0.0
2024-09-01,100922,2.89035,2.89035,0.0
2024-09-02,100922,2.88815,2.88815,0.0
