date,tvl,apy,apy_base,apy_reward
2025-05-12,10002,8.02003,6.42315,1.59689
2025-05-13,10004,7.18589,5.99351,1.19239
2025-05-14,10006,5.13607,3.98883,1.14724
2025-05-15,10007,7.16716,6.0243,1.14286
2025-05-16,26857,8.54101,7.40858,1.13242
2025-05-17,26858,7.53162,6.56454,0.96708
2025-05-19,26871,6.92425,6.92425,0.0
2025-05-20,26875,7.60872,6.45766,1.15105
2025-05-21,26881,7.78166,6.66373,1.11793
2025-05-22,10018,7.06831,5.90464,1.16368
2025-05-23,10021,10.09526,9.01936,1.0759
2025-05-24,10023,10.08603,9.03251,1.05352
2025-05-25,10026,7.53069,7.53069,0.0
2025-05-26,10026,10.00854,8.99575,1.01279
2025-05-27,10028,8.72157,7.68739,1.03418
2025-05-28,10031,10.95711,9.97647,0.98064
2025-05-29,10034,7.1307,6.15243,0.97827
2025-05-30,10037,6.82403,5.90559,0.91843
2025-05-31,10038,8.94244,8.02548,0.91695
2025-06-01,10040,9.31026,8.37683,0.93343
2025-06-02,10041,7.78089,6.8626,0.9183
2025-06-03,10042,7.6335,6.69497,0.93853
