date,tvl,apy,apy_base,apy_reward
2024-06-06,10024347,19.26429,19.26429,0
2024-06-07,9406161,41.05422,41.05422,0
2024-06-08,9394671,43.1976,43.1976,0
2024-06-09,9396393,44.2662,44.2662,0
2024-06-10,8747913,12.36751,12.36751,0
2024-06-11,453341,40.57196,40.57196,0
2024-06-12,6354717,41.36587,41.36587,0
2024-06-13,6357062,42.18302,42.18302,0
2024-06-14,6374916,23.79746,23.79746,0
2024-06-15,6372837,23.79636,23.79636,0
2024-06-16,6363914,21.22659,21.22659,0
2024-06-17,6380370,21.13773,21.13773,0
2024-06-18,6364158,20.88606,20.88606,0
2024-06-19,6754882,18.35292,18.35292,0
2024-06-20,6725032,18.20281,18.20281,0
2024-06-21,6730079,17.86236,17.86236,0
2024-06-22,6734857,16.26468,16.26468,0
2024-06-23,6759106,15.95651,15.95651,0
2024-06-24,6736920,15.78703,15.78703,0
2024-06-25,6746735,15.62032,15.62032,0
2024-06-26,6745470,15.45636,15.45636,0
2024-06-27,6747232,15.29543,15.29543,0
2024-06-28,6823535,13.92844,13.92844,0
2024-06-29,6819575,13.77123,13.77123,0
2024-06-30,6830645,13.27705,13.27705,0
2024-07-01,5732175,23.75123,23.75123,0
2024-07-02,5739654,23.92028,23.92028,0
2024-07-03,5698348,13.18131,13.18131,0
2024-07-04,5688078,13.03169,13.03169,0
2024-07-05,1219608,4.55825,4.55825,0
2024-07-06,1217693,4.3926,4.3926,0
2024-07-07,1223061,4.24278,4.24278,0
2024-07-08,1222957,4.10187,4.10187,0
2024-07-09,1216891,3.96968,3.96968,0
2024-07-10,1221571,3.83387,3.83387,0
2024-07-11,1217709,3.71544,3.71544,0
2024-07-12,1221188,3.60312,3.60312,0
2024-07-13,1234604,4.72269,4.72269,0
2024-07-14,1235395,4.62538,4.62538,0
2024-07-15,1254097,7.94355,7.94355,0
2024-07-16,1247368,6.34184,6.34184,0
2024-07-17,1246827,6.27843,6.27843,0
2024-07-18,1256911,7.93357,7.93357,0
2024-07-19,1256280,7.92867,7.92867,0
2024-07-20,1259499,7.92328,7.92328,0
2024-07-21,1258071,7.91806,7.91806,0
2024-07-22,1257847,7.91284,7.91284,0
2024-07-23,1253571,7.90763,7.90763,0
2024-07-24,1210711,16.44941,16.44941,0
2024-07-25,1208449,16.82386,16.82386,0
2024-07-26,1206853,17.21103,17.21103,0
2024-07-27,1204843,8.86626,8.86626,0
2024-07-28,1205391,8.86648,8.86648,0
2024-07-29,1204753,8.86671,8.86671,0
2024-07-30,1204539,8.86693,8.86693,0
2024-07-31,1168426,18.17684,18.17684,0
2024-08-01,1168056,8.93456,8.93456,0
2024-08-02,1165928,8.93467,8.93467,0
2024-08-03,1167190,8.93489,8.93489,0
2024-08-04,1164141,8.93502,8.93502,0
2024-08-05,1168767,8.93516,8.93516,0
2024-08-06,1167598,8.9353,8.9353,0
2024-08-07,1132992,18.42376,18.42376,0
2024-08-08,1133577,9.14148,9.14148,0
2024-08-09,1136936,9.1004,9.1004,0
2024-08-10,1133043,9.1005,9.1005,0
2024-08-11,1135044,9.1006,9.1006,0
2024-08-12,1098082,18.78575,18.78575,0
2024-08-13,1055568,19.47741,19.47741,0
2024-08-14,1087814,9.48239,9.48239,0
2024-08-15,1090450,9.48097,9.48097,0
2024-08-16,1086339,9.4796,9.4796,0
2024-08-17,1085621,9.47822,9.47822,0
2024-08-18,1062791,9.4699,9.4699,0
2024-08-19,1032633,19.66075,19.66075,0
2024-08-20,1030977,9.76205,9.76205,0
2024-08-21,1030528,9.76374,9.76374,0
2024-08-22,1024491,7.47806,7.47806,0
2024-08-23,1032601,9.35876,9.35876,0
2024-08-24,1030858,9.3519,9.3519,0
2024-08-25,1031372,9.34506,9.34506,0
2024-08-26,983346,19.67513,19.67513,0
2024-08-27,982623,9.6955,9.6955,0
2024-08-28,980084,9.69511,9.69511,0
2024-08-29,980264,9.69499,9.69499,0
2024-08-30,980768,9.69487,9.69487,0
2024-08-31,981541,9.69476,9.69476,0
2024-09-01,982534,9.69464,9.69464,0
2024-09-02,948338,9.67372,9.67372,0
2024-09-03,948486,9.67274,9.67274,0
2024-09-04,954409,9.61229,9.61229,0
2024-09-05,600786,2.08315,2.08315,0
