date,tvl,apy,apy_base,apy_reward
2024-10-10,82550,0.0,0.0,0.0
2024-10-11,543135,0.04646,0.04646,0.0
2024-10-12,552806,0.10844,0.10844,0.0
2024-10-13,432735,0.11665,0.11665,0.0
2024-10-14,418697,0.16582,0.16582,0.0
2024-10-15,485885,0.12339,0.12339,0.0
2024-10-16,528448,0.28681,0.28681,0.0
2024-10-17,512953,0.17842,0.17842,0.0
2024-10-18,505303,0.16863,0.16863,0.0
2024-10-19,578961,0.11989,0.11989,0.0
2024-10-20,568931,0.1109,0.1109,0.0
2024-10-21,632511,0.10474,0.10474,0.0
2024-10-22,601112,0.12597,0.12597,0.0
2024-10-23,597897,0.11608,0.11608,0.0
2024-10-24,494468,0.14678,0.14678,0.0
2024-10-25,143528,1.79547,1.79547,0.0
2024-10-26,112448,3.39309,3.39309,0.0
2024-10-27,110466,3.89916,3.89916,0.0
2024-10-28,110483,4.2147,4.2147,0.0
2024-10-29,90336,5.07263,5.07263,0.0
2024-10-30,274696,0.36153,0.36153,0.0
2024-10-31,534674,1.8497,1.8497,0.0
2024-11-01,355971,0.72419,0.72419,0.0
2024-11-02,468293,2.43661,2.43661,0.0
2024-11-03,545247,2.05789,2.05789,0.0
2024-11-04,957142,0.22604,0.22604,0.0
2024-11-05,599211,1.90794,1.90794,0.0
2024-11-06,629400,0.36812,0.36812,0.0
2024-11-07,619841,1.64987,1.64987,0.0
2024-11-08,655519,0.60084,0.60084,0.0
2024-11-09,608843,1.49261,1.49261,0.0
2024-11-10,664396,1.13251,1.13251,0.0
2024-11-11,670537,3.41392,3.41392,0.0
2024-11-12,723845,3.97611,3.97611,0.0
2024-11-13,461307,5.12708,5.12708,0.0
2024-11-14,320469,11.23606,11.23606,0.0
2024-11-15,312997,13.00957,13.00957,0.0
2024-11-16,294601,2.5506,2.5506,0.0
2024-11-17,223920,16.35895,16.35895,0.0
2024-11-18,374602,7.33297,7.33297,0.0
2024-11-19,272632,15.59859,15.59859,0.0
2024-11-20,344123,15.17715,15.17715,0.0
2024-11-21,325597,2.35698,2.35698,0.0
2024-11-22,300791,9.7742,9.7742,0.0
2024-11-23,296193,10.12887,10.12887,0.0
2024-11-24,372277,8.91608,8.91608,0.0
2024-11-25,399558,9.26463,9.26463,0.0
2024-11-26,374311,2.21081,2.21081,0.0
2024-11-27,316550,3.3883,3.3883,0.0
2024-11-28,277032,6.98412,6.98412,0.0
2024-11-29,278132,10.71017,10.71017,0.0
