date,tvl,apy,apy_base,apy_reward
2025-04-29,10027,5.51866,4.82511,0.69355
2025-04-30,10028,5.44218,4.75594,0.68624
2025-05-01,10029,5.04797,4.22359,0.82437
2025-05-02,10030,7.82652,7.00825,0.81827
2025-05-03,10031,5.75839,4.97659,0.7818
2025-05-04,10033,5.339,4.54777,0.79123
2025-05-05,10033,5.05226,4.25258,0.79967
2025-05-06,100838,4.22481,4.22481,0.0
2025-05-07,32720,4.84142,4.84142,0.0
2025-05-08,32723,3.85285,3.85285,0.0
2025-05-09,32730,11.49118,11.49118,0.0
2025-05-10,80107,5.32814,5.32814,0.0
2025-05-11,310907,7.80365,7.80365,0.0
2025-05-12,209425,7.92913,7.92913,0.0
2025-05-13,168276,5.69069,5.69069,0.0
2025-05-14,221002,5.5889,5.5889,0.0
2025-05-15,183727,6.05829,6.05829,0.0
2025-05-16,292474,11.71492,11.71492,0.0
2025-05-17,292441,11.48852,11.48852,0.0
2025-05-19,292630,6.63645,6.63645,0.0
2025-05-20,182676,5.52187,5.52187,0.0
2025-05-21,241869,6.76942,6.76942,0.0
2025-05-22,241936,5.93641,5.93641,0.0
2025-05-23,146231,4.66054,4.66054,0.0
2025-05-24,153497,5.02987,5.02987,0.0
2025-05-25,153490,5.34592,5.34592,0.0
2025-05-26,184445,5.65362,5.65362,0.0
2025-05-27,280494,5.50592,5.50592,0.0
2025-05-28,150414,6.0045,6.0045,0.0
2025-05-29,238688,5.29865,5.29865,0.0
2025-05-30,128689,8.98956,8.98956,0.0
2025-05-31,379520,5.28677,5.28677,0.0
2025-06-01,240876,5.74083,5.74083,0.0
2025-06-02,240965,5.94959,5.94959,0.0
2025-06-03,171629,5.57225,5.57225,0.0
2025-06-04,171622,5.63972,5.63972,0.0
