date,tvl,apy,apy_base,apy_reward
2024-06-06,1421132,10.90879,10.0391,0.86969
2024-06-07,1421608,16.3556,15.49883,0.85677
2024-06-08,1422185,16.32202,15.50626,0.81575
2024-06-09,1412508,11.36323,10.54359,0.81964
2024-06-10,1413483,10.76292,9.96423,0.79869
2024-06-11,1414240,10.08735,9.31093,0.77642
2024-06-12,1414106,9.87295,9.07398,0.79897
2024-06-13,1414922,10.00409,9.23533,0.76876
2024-06-14,1414744,9.89581,9.12266,0.77315
2024-06-15,1415640,4.12538,3.33376,0.79162
2024-06-16,1415732,6.68067,5.84505,0.83562
2024-06-17,1416124,6.65511,5.86288,0.79223
2024-06-18,1415851,6.63013,5.8809,0.74922
2024-06-19,1416305,6.56157,5.78215,0.77942
2024-06-20,1416698,6.79949,6.03852,0.76096
2024-06-21,1416671,10.78665,9.99409,0.79256
2024-06-22,1417513,10.77882,9.98826,0.79056
2024-06-23,1417471,7.67284,6.89384,0.77899
2024-06-24,1417870,8.10249,7.32251,0.77998
2024-06-25,1418714,8.14504,7.34266,0.80238
2024-06-26,1418625,8.09027,7.29078,0.79949
2024-06-27,1418954,8.11587,7.30072,0.81515
2024-06-28,1419207,8.13803,7.3312,0.80683
2024-06-29,1419435,8.13366,7.35159,0.78207
2024-06-30,1419938,8.17563,7.36884,0.80679
2024-07-01,1419881,8.57566,7.77351,0.80216
2024-07-02,1420086,8.64011,7.83803,0.80209
2024-07-03,1420645,8.53254,7.76044,0.77211
2024-07-04,1421150,7.47386,6.73476,0.7391
2024-07-05,1421082,6.33538,5.552,0.78338
2024-07-06,1421491,4.98689,4.20651,0.78039
2024-07-07,1421426,4.86696,4.1234,0.74356
2024-07-08,1421737,4.99791,4.21056,0.78736
2024-07-09,1421779,5.10746,4.31391,0.79354
2024-07-10,1422062,5.14768,4.35941,0.78826
2024-07-11,1422108,5.19269,4.42364,0.76905
2024-07-12,1422797,7.30217,6.49703,0.80514
2024-07-13,1423110,7.22068,6.41688,0.8038
2024-07-14,1423210,7.29137,6.43873,0.85263
2024-07-15,1423066,8.57317,7.70386,0.86931
2024-07-16,1423534,10.83658,9.96523,0.87135
2024-07-17,1280849,8.82651,7.96376,0.86275
2024-07-18,1280849,8.81432,7.93244,0.88188
2024-07-19,1281620,8.73207,7.84706,0.88501
2024-07-20,1281709,9.47214,8.60878,0.86336
2024-07-21,1281817,8.79006,7.91085,0.87921
2024-07-22,1282092,8.55893,7.71265,0.84628
2024-07-23,1282681,8.59568,7.76936,0.82632
2024-07-24,1282568,7.84426,7.00776,0.83649
2024-07-25,1282731,5.25747,4.43769,0.81978
2024-07-26,1283210,6.45231,5.58932,0.86299
2024-07-27,1283090,6.49866,5.62929,0.86937
2024-07-28,1283405,5.99858,5.19362,0.80496
2024-07-29,1283737,6.63658,5.80573,0.83085
2024-07-30,1284103,16.59148,15.55043,1.04105
2024-07-31,143246,10.33385,9.33206,1.0018
2024-08-01,143254,10.09161,9.09515,0.99646
2024-08-02,143289,4.48021,3.51468,0.96553
2024-08-03,143359,11.10236,10.19925,0.9031
2024-08-04,143339,8.7399,7.87494,0.86496
2024-08-05,143311,2.20832,1.39251,0.81581
2024-08-06,17183,2.52555,1.6025,0.92305
2024-08-07,17188,2.46303,1.60301,0.86002
2024-08-08,17185,2.55921,1.60666,0.95256
2024-08-09,17187,2.53341,1.59127,0.94213
2024-08-10,16970,3.03554,2.08532,0.95022
2024-08-11,16967,3.04102,2.08641,0.95461
2024-08-12,16902,3.07008,2.08639,0.98369
2024-08-13,16901,2.28561,2.28561,0.0
2024-08-14,16901,2.28672,2.28672,0.0
2024-08-15,16900,2.3457,2.3457,0.0
2024-08-16,16904,2.38309,2.38309,0.0
2024-08-17,16907,2.39428,2.39428,0.0
2024-08-18,16905,2.37371,2.37371,0.0
2024-08-19,16906,2.37241,2.37241,0.0
2024-08-20,16905,2.35198,2.35198,0.0
2024-08-21,16913,2.40913,2.40913,0.0
2024-08-22,16820,2.41197,2.41197,0.0
2024-08-23,16827,2.36178,2.36178,0.0
