date,tvl,apy,apy_base,apy_reward
2024-06-06,3058812,3.91429,3.91429,0
2024-06-07,3059080,3.63529,3.63529,0
2024-06-08,3059389,3.78137,3.78137,0
2024-06-09,3059737,3.93462,3.93462,0
2024-06-10,3060018,3.87685,3.87685,0
2024-06-11,3041306,3.92409,3.92409,0
2024-06-12,3041632,3.97501,3.97501,0
2024-06-13,3041913,3.84557,3.84557,0
2024-06-14,3042024,5.11994,5.11994,0
2024-06-15,3042801,5.72892,5.72892,0
2024-06-16,3043292,5.79499,5.79499,0
2024-06-17,3043753,5.80195,5.80195,0
2024-06-18,3044196,5.75903,5.75903,0
2024-06-19,3044607,5.27407,5.27407,0
2024-06-20,3045093,2.03634,2.03634,0
2024-06-21,3045286,2.41812,2.41812,0
2024-06-22,3038357,2.32887,2.32887,0
2024-06-23,3038543,2.33536,2.33536,0
2024-06-24,3038621,2.25919,2.25919,0
2024-06-25,3038741,3.05318,3.05318,0
2024-06-26,3038838,2.95867,2.95867,0
2024-06-27,3039189,2.98173,2.98173,0
2024-06-28,3039419,3.05436,3.05436,0
2024-06-29,3039687,3.40367,3.40367,0
2024-06-30,3040008,3.78684,3.78684,0
2024-07-01,3040399,6.10285,6.10285,0
2024-07-02,3040826,6.30827,6.30827,0
2024-07-03,3011427,6.24238,6.24238,0
2024-07-04,3011901,6.17616,6.17616,0
2024-07-05,3012110,1.55805,1.55805,0
2024-07-06,3012235,1.56389,1.56389,0
2024-07-07,3012353,1.59589,1.59589,0
2024-07-08,3012483,1.63164,1.63164,0
2024-07-09,3012637,2.04403,2.04403,0
2024-07-10,3012778,2.09828,2.09828,0
2024-07-11,3012966,4.58656,4.58656,0
2024-07-12,3013422,4.87349,4.87349,0
2024-07-13,3013816,4.70744,4.70744,0
2024-07-14,3014212,4.91985,4.91985,0
2024-07-15,2980907,4.44887,4.44887,0
2024-07-16,2981266,4.84382,4.84382,0
2024-07-17,2981673,5.02028,5.02028,0
2024-07-18,2982023,5.23767,5.23767,0
2024-07-19,2982486,5.26794,5.26794,0
2024-07-20,2982761,5.3394,5.3394,0
2024-07-21,2983230,4.1362,4.1362,0
2024-07-22,2983439,1.60186,1.60186,0
2024-07-23,2983551,1.57866,1.57866,0
2024-07-24,2983608,1.57887,1.57887,0
2024-07-25,2683794,1.60409,1.60409,0
2024-07-26,2683921,1.6379,1.6379,0
2024-07-27,2684039,1.67856,1.67856,0
2024-07-28,2684159,1.68925,1.68925,0
2024-07-29,2684342,3.21479,3.21479,0
2024-07-30,2354626,4.9005,4.9005,0
2024-07-31,2354957,6.90874,6.90874,0
2024-08-01,2333496,5.27463,5.27463,0
2024-08-02,2333779,2.24895,2.24895,0
2024-08-03,2333916,1.99665,1.99665,0
2024-08-04,2334014,1.40969,1.40969,0
2024-08-05,2284083,1.1342,1.1342,0
2024-08-06,2284160,1.14888,1.14888,0
2024-08-07,2284227,1.03327,1.03327,0
2024-08-08,2284293,1.04348,1.04348,0
2024-08-09,2284343,1.0501,1.0501,0
2024-08-10,2284185,1.05361,1.05361,0
2024-08-11,2284250,1.05566,1.05566,0
2024-08-12,2284314,1.06209,1.06209,0
2024-08-13,2284403,2.00318,2.00318,0
2024-08-14,2284529,2.00349,2.00349,0
2024-08-15,2264635,2.05007,2.05007,0
