date,tvl,apy,apy_base,apy_reward
2024-06-06,58935,9.36145,9.36145,0
2024-06-07,58937,15.05773,15.05773,0
2024-06-08,58938,7.24733,7.24733,0
2024-06-09,58940,6.81068,6.81068,0
2024-06-10,57908,8.7073,8.7073,0
2024-06-11,57919,9.04737,9.04737,0
2024-06-12,57920,13.33325,13.33325,0
2024-06-13,57922,11.90585,11.90585,0
2024-06-14,57923,11.17134,11.17134,0
2024-06-15,57925,4.52513,4.52513,0
2024-06-16,57926,6.78884,6.78884,0
2024-06-17,57947,9.45233,9.45233,0
2024-06-18,57949,6.46127,6.46127,0
2024-06-19,57950,7.77222,7.77222,0
2024-06-20,57951,7.73992,7.73992,0
2024-06-21,57952,8.03852,8.03852,0
2024-06-22,57998,7.42891,7.42891,0
2024-06-23,56911,7.96208,7.96208,0
2024-06-24,56913,9.0382,9.0382,0
2024-06-25,56913,3.61997,3.61997,0
2024-06-26,56914,4.108,4.108,0
2024-06-27,52427,4.1881,4.1881,0
2024-06-28,52427,4.25547,4.25547,0
2024-06-29,52427,4.25532,4.25532,0
2024-06-30,50275,4.27626,4.27626,0
2024-07-01,50276,15.97248,15.97248,0
2024-07-02,50277,12.55061,12.55061,0
2024-07-03,50277,13.22277,13.22277,0
2024-07-04,50278,5.04367,5.04367,0
2024-07-05,50278,6.06735,6.06735,0
2024-07-06,50278,6.3132,6.3132,0
2024-07-07,50279,6.19392,6.19392,0
2024-07-08,50279,5.66989,5.66989,0
2024-07-09,50279,6.15549,6.15549,0
2024-07-10,50278,7.18682,7.18682,0
2024-07-11,50278,7.2436,7.2436,0
2024-07-12,50279,7.41178,7.41178,0
2024-07-13,50279,6.40188,6.40188,0
2024-07-14,50279,9.45667,9.45667,0
2024-07-15,50280,11.38304,11.38304,0
2024-07-16,50281,13.25953,13.25953,0
2024-07-17,50281,10.18852,10.18852,0
2024-07-18,50282,12.22311,12.22311,0
2024-07-19,50283,12.26964,12.26964,0
2024-07-20,50283,8.225,8.225,0
2024-07-21,50283,9.59368,9.59368,0
2024-07-22,50284,10.14343,10.14343,0
2024-07-23,50284,10.61155,10.61155,0
2024-07-24,50285,9.58103,9.58103,0
2024-07-25,50285,6.98096,6.98096,0
2024-07-26,50286,7.16425,7.16425,0
2024-07-27,50286,6.30692,6.30692,0
2024-07-28,50286,7.10746,7.10746,0
2024-07-29,50287,7.47849,7.47849,0
2024-07-30,50287,10.27927,10.27927,0
2024-07-31,50287,9.19929,9.19929,0
2024-08-01,50288,7.65335,7.65335,0
2024-08-02,50288,5.26824,5.26824,0
2024-08-03,50288,4.41452,4.41452,0
2024-08-04,50025,4.23224,4.23224,0
2024-08-05,50025,3.46988,3.46988,0
2024-08-06,50025,3.77559,3.77559,0
2024-08-07,50036,3.61958,3.61958,0
2024-08-08,50036,3.6357,3.6357,0
2024-08-09,50036,3.68473,3.68473,0
2024-08-10,50045,3.65928,3.65928,0
2024-08-11,50045,3.68214,3.68214,0
2024-08-12,50045,3.69247,3.69247,0
2024-08-13,49841,3.63871,3.63871,0
2024-08-14,49841,3.66867,3.66867,0
2024-08-15,49841,3.76876,3.76876,0
2024-08-16,49841,3.78431,3.78431,0
