,ethena-usde_SUSDE_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_USDT_Ethereum,aave-v3_PT-EUSDE-14AUG2025_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,aave-v3_SUSDE_Ethereum,morpho-blue_USUALUSDC+_Ethereum,aave-v3_USDE_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_SPDAI_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,aave-v3_USDS_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDC_Avalanche,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,morpho-blue_PT-SUSDE-31JUL2025_Ethereum,morpho-blue_SMUSDC_Base,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,aave-v3_DAI_Ethereum,fluid-lending_USDC_Arbitrum,morpho-blue_MWUSDC_Base,fluid-lending_SUSDE_Ethereum,morpho-blue_HYPERUSDC_Ethereum,aave-v3_USDT_Avalanche,fluid-lending_SUSDS_Ethereum,aave-v3_PT-EUSDE-29MAY2025_Ethereum,aave-v3_USDC_Base,morpho-blue_VBSHUSDC_Ethereum,fluid-lending_USDC_Polygon,aave-v2_USDC_Ethereum,fluid-lending_USDC_Base,fluid-lending_USDT_Polygon,aave-v3_USDT_Polygon,aave-v3_USDC_Polygon,morpho-blue_SUSDE_Ethereum,morpho-blue_GTUSDT_Ethereum,morpho-blue_RESOLVUSDC_Ethereum,morpho-blue_FUSDC_Ethereum,morpho-blue_GTEUSDC_Ethereum,morpho-blue_SBMORPHOUSDC_Ethereum,aave-v3_USDTB_Ethereum,euler-v2_USDC_Ethereum,morpho-blue_APRUSDC_Ethereum,aave-v2_DAI_Ethereum,euler-v2_USDC_Avalanche,morpho-blue_EUSDE_Ethereum,morpho-blue_GTDAICORE_Ethereum,aave-v2_USDT_Ethereum,morpho-blue_GTUSDCC_Base,morpho-blue_FXUSDC_Ethereum,morpho-blue_BBQUSDT_Ethereum,euler-v2_EUSDE_Ethereum,morpho-blue_PT-USDE-31JUL2025_Ethereum,morpho-blue_GTUSDCP_Base,morpho-blue_USDE_Ethereum,morpho-blue_HYUSDC_Ethereum,morpho-blue_STEAKUSDC_Base,euler-v2_USDT_Avalanche,morpho-blue_GTMSUSDC_Ethereum,aave-v2_USDC.E_Avalanche,morpho-blue_STEAKUSDCLEVEL_Ethereum,morpho-blue_COUSDC_Base,morpho-blue_APRUSDE_Ethereum,morpho-blue_VBGTUSDT_Ethereum,morpho-blue_MC-USDCP_Ethereum,morpho-blue_RE7USDC_Base,euler-v2_USDC_Base,morpho-blue_IMF-USDS_Ethereum,aave-v3_DAI.E_Avalanche,aave-v2_USDC_Polygon,aave-v3_DAI_Polygon,euler-v2_USDT_Ethereum,aave-v2_DAI_Polygon,morpho-blue_BBQDAI_Ethereum,morpho-blue_HUSDT_Ethereum,morpho-blue_CUSDOUSDC_Ethereum,morpho-blue_MIDASUSDC_Ethereum,morpho-blue_RE7USDCC_Ethereum,morpho-blue_PT-SUSDE-27MAR2025_Ethereum,morpho-blue_USDC_Ethereum,morpho-blue_SUSDS_Ethereum,morpho-blue_EXMUSDC_Base,aave-v3_DAI_Arbitrum,aave-v2_USDT_Polygon,morpho-blue_UUSDC_Base,fluid-lending_SUSDS_Arbitrum,morpho-blue_HYPERUSDT_Ethereum,morpho-blue_9SUSDC11CORE_Ethereum,fluid-lending_SUSDS_Base,morpho-blue_SAFE-STEAKUSDT_Ethereum,aave-v3_SDAI_Ethereum,morpho-blue_APRUSDC_Base,morpho-blue_PT-SUSDE-29MAY2025_Ethereum,aave-v2_USDT.E_Avalanche,morpho-blue_BBUSDT_Ethereum,morpho-aave_USDC_Ethereum,morpho-blue_STEAKSUSDS_Base,morpho-blue_PT-EUSDE-29MAY2025_Ethereum,morpho-blue_GTAUSDC_Ethereum,morpho-blue_USDCRWA_Ethereum,morpho-blue_OHMSUSDS_Ethereum,morpho-blue_RE7USDT_Ethereum,morpho-blue_SAFE-STEAKUSDC_Ethereum,morpho-blue_STEAKUSDTLITE_Ethereum,morpho-blue_STEAKUSDCRWA_Base,morpho-blue_9SUSDCCORE_Ethereum,aave-v2_DAI.E_Avalanche,morpho-blue_PRUDENTUSDC_Base,euler-v2_SUSDS_Ethereum,morpho-blue_MC.EUSDC_Ethereum,morpho-blue_SAMM-USDC-CUSDO_Base,morpho-blue_YMVOG-DAI_Ethereum,morpho-blue_SAFE-STEAKUSDC_Base,morpho-blue_STKCVXCRVUSDCWBTCWETH-MORPHO_Ethereum,morpho-blue_YMVOG-USDC_Base,euler-v2_USDE_Ethereum,morpho-blue_STKCVXCRVUSDETHCRV-MORPHO_Ethereum,morpho-blue_STKCVXCRVCRVUSDTBTCWSTETH-MORPHO_Ethereum,morpho-blue_PT-SUSDE-27FEB2025_Ethereum,morpho-blue_BBQUSDC_Base,morpho-blue_BBUSDC_Ethereum,morpho-blue_GTSUSDSC_Base,morpho-blue_RE7USDCP_Ethereum,aave-v3_EUSDE_Ethereum,morpho-blue_HDAI_Ethereum,morpho-blue_INDEUSDC_Base,euler-v2_SUSDE_Ethereum,morpho-blue_DUPLICATEDKEY.USDC_Ethereum,morpho-blue_STEAKUSDCRWA_Ethereum,euler-v2_SDAI_Ethereum,morpho-blue_PYTHUSDC_Base,morpho-blue_MJUSDC_Base,morpho-aave_USDT_Ethereum,morpho-compound_USDT_Ethereum,euler-v2_USDS_Base,morpho-blue_USDC_Base,morpho-blue_IONICUSDC_Base,morpho-blue_AUSDC_Base,morpho-blue_SDAI_Ethereum,morpho-blue_CERESUSDE_Ethereum,morpho-blue_STKCVXCRVUSDTWBTCWETH-MORPHO_Ethereum,morpho-blue_PT-EUSDE-14AUG2025_Ethereum,morpho-blue_ELIXIRUSDC_Ethereum,morpho-compound_USDC_Ethereum,morpho-compound_DAI_Ethereum,morpho-blue_GTUSDCF_Base,morpho-blue_USDCDOJO_Ethereum,morpho-blue_LUMENUSDC_Base,morpho-blue_GTUSDTC_Ethereum
2024-06-06,26.00189,0.0,7.39565,0.0,0.0,0.0,0.0,0.0,0.0,0.00526,14.31714,15.1565,14.26367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.54667,16.12974,7.54431,7.17198,15.17502,0.0,0.0,0.0,0.0,0.0,7.53175,0.0,0.0,0.0,0.0,9.54383,0.0,0.0,11.99553,0.0,0.0,9.83337,0.0,0.0,7.19554,6.6523,16.31272,15.30423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88706,0.0,0.0,6.49518,8.59107,0.0,0.0,0.0,0.0,0.0,0.0,19.26429,0.0,0.0,0.0,0.0,2.99158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33182,0.34297,25.54788,0.0,0.23896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13447,1.36697,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.45089,15.53726,16.77433,0.0,0.0,0.0,13.03721,0.0,12.1743,0.0,0.0,0.0,0.0,2.87001,0.0,0.0,0.0,0.0,0.0,0.0,18.97794,0.0,0.0,7.45021,3.75943,0.0,0.0,15.12459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73083,9.36145,0.0,0.0,0.0,0.0,0.0,0.0,22.95503,0.0,0.0,3.91429,10.90879,0.0,0.0,0.0,0.0
2024-06-07,25.36063,0.0,6.53898,0.0,0.0,0.0,0.0,0.0,0.0,2.35105,14.48306,8.25579,11.51851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.11397,9.01531,8.51464,9.55508,8.18875,0.0,0.0,0.0,0.0,0.0,7.16872,0.0,0.0,0.0,0.0,7.00052,0.0,0.0,6.53261,0.0,0.0,3.516,0.0,0.0,7.19119,6.66876,18.27738,8.55078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35729,0.0,0.0,6.53345,4.43027,0.0,0.0,0.0,0.0,0.0,0.0,41.05422,0.0,0.0,0.0,0.0,2.82028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03429,0.60407,9.35356,0.0,0.25851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95784,0.89622,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.14531,8.71545,5.81028,0.0,0.0,0.0,0.42987,0.0,6.59038,0.0,0.0,0.0,0.0,2.83571,0.0,0.0,0.0,0.0,0.0,0.0,19.59412,0.0,0.0,228.44383,13.44355,0.0,0.0,8.35319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.90578,15.05773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63529,16.3556,0.0,0.0,0.0,0.0
2024-06-08,24.68142,0.0,6.67133,0.0,0.0,0.0,0.0,0.0,0.0,0.9942,14.05493,8.90976,12.03498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33373,7.51661,7.46461,7.10253,8.83538,0.0,0.0,0.0,0.0,0.0,8.04466,0.0,0.0,0.0,0.0,7.00364,0.0,0.0,6.61448,0.0,0.0,3.54287,0.0,0.0,6.95304,6.65824,6.98956,7.38864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.61992,0.0,0.0,6.5703,5.32105,0.0,0.0,0.0,0.0,0.0,0.0,43.1976,0.0,0.0,0.0,0.0,2.8834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71001,0.35924,5.83856,0.0,0.26733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85469,1.05979,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.07599,7.43568,5.84167,0.0,0.0,0.0,15.63677,0.0,22.03087,0.0,0.0,0.0,0.0,2.80613,0.0,0.0,0.0,0.0,0.0,0.0,217.41161,0.0,0.0,196.15664,13.00333,0.0,0.0,9.01458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08278,7.24733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78137,16.32202,0.0,0.0,0.0,0.0
2024-06-09,23.89971,0.0,6.66965,0.0,0.0,0.0,0.0,0.0,0.0,1.18013,14.14491,10.3381,14.98221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.35642,6.75272,5.4719,7.23399,10.6325,0.0,0.0,0.0,0.0,0.0,10.76754,0.0,0.0,0.0,0.0,7.06768,0.0,0.0,6.45085,0.0,0.0,3.62976,0.0,0.0,6.78229,6.72215,13.44487,7.02883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74257,0.0,0.0,6.60744,6.1236,0.0,0.0,0.0,0.0,0.0,0.0,44.2662,0.0,0.0,0.0,0.0,2.84593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86419,0.3388,5.92286,0.0,0.22583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9649,1.99823,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.09589,6.92877,5.94472,0.0,0.0,0.0,15.62947,0.0,18.98643,0.0,0.0,0.0,0.0,2.81875,0.0,0.0,0.0,0.0,0.0,0.0,71.56906,0.0,0.0,60.51618,13.45007,0.0,0.0,9.84307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18893,6.81068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93462,11.36323,0.0,0.0,0.0,0.0
2024-06-10,23.4354,0.0,6.80228,0.0,0.0,0.0,0.0,0.0,0.0,1.47043,14.24906,7.80178,10.79973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18035,6.48192,5.5139,10.00146,7.79035,0.0,0.0,0.0,0.0,0.0,5.78621,0.0,0.0,0.0,0.0,7.56206,0.0,0.0,6.65049,0.0,0.0,3.60717,0.0,0.0,7.04497,6.44089,20.964,5.99439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81416,0.0,0.0,6.64488,8.60458,0.0,0.0,0.0,0.0,0.0,0.0,12.36751,0.0,0.0,0.0,0.0,2.90744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38448,0.32171,5.80949,0.0,0.22801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28753,2.03411,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0531,6.19856,5.91852,0.0,0.0,0.0,0.4179,0.0,13.23818,0.0,0.0,0.0,0.0,2.80167,0.0,0.0,0.0,0.0,0.0,0.0,64.17485,0.0,0.0,62.40535,12.67721,0.0,0.0,7.84136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63102,8.7073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87685,10.76292,0.0,0.0,0.0,0.0
2024-06-11,23.00921,0.0,7.14781,0.0,0.0,0.0,0.0,0.0,0.0,1.72535,13.66761,7.72897,11.02591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.99839,6.49605,6.39248,10.72673,7.73278,0.0,0.0,0.0,0.0,0.0,5.93831,0.0,0.0,0.0,0.0,6.59878,0.0,0.0,11.5138,0.0,0.0,7.78951,0.0,0.0,6.86348,6.72047,19.74623,6.01743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96712,0.0,0.0,6.67184,6.51146,0.0,0.0,0.0,0.0,0.0,0.0,40.57196,0.0,0.0,0.0,0.0,3.32011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93402,0.51138,5.99603,0.0,1.25245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93531,0.67317,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4489,6.21512,13.10878,0.0,0.0,0.0,12.24455,0.0,14.63947,0.0,0.0,0.0,0.0,2.91872,0.0,0.0,0.0,0.0,0.0,0.0,75.21493,0.0,0.0,66.4099,11.53698,0.0,0.0,7.62243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59134,9.04737,0.0,0.0,0.0,0.0,0.0,0.0,81.70097,0.0,0.0,3.92409,10.08735,0.0,0.0,0.0,0.0
2024-06-12,22.62092,0.0,7.10526,0.0,0.0,0.0,0.0,0.0,0.0,2.09637,14.22366,8.08735,11.3053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39695,6.38328,8.97514,7.09998,8.08606,0.0,0.0,0.0,0.0,0.0,6.05435,0.0,0.0,0.0,0.0,6.75865,0.0,0.0,6.51988,0.0,0.0,7.20255,0.0,0.0,6.68326,6.71036,16.23067,6.3047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72778,0.0,0.0,6.72056,6.23581,0.0,0.0,0.0,0.0,0.0,0.0,41.36587,0.0,0.0,0.0,0.0,2.9993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92842,0.14554,5.84577,0.0,1.13899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.536,1.2399,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.72646,6.33103,12.07225,0.0,0.0,0.0,11.52699,0.0,18.21526,0.0,0.0,0.0,0.0,2.96367,0.0,0.0,0.0,0.0,0.0,0.0,55.97721,0.0,0.0,57.1048,11.67881,0.0,0.0,8.06892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28055,13.33325,0.0,0.0,0.0,0.0,0.0,0.0,66.94816,0.0,0.0,3.97501,9.87295,0.0,0.0,0.0,0.0
2024-06-13,17.16282,0.0,6.92413,0.0,0.0,0.0,0.0,0.0,0.0,2.14865,13.80179,10.1883,11.57652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.94758,15.88241,4.74786,7.15823,10.18637,0.0,0.0,0.0,0.0,0.0,11.82071,0.0,0.0,0.0,0.0,6.63374,0.0,0.0,6.87627,0.0,0.0,8.89802,0.0,0.0,6.42754,12.06604,8.51558,15.38087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50629,0.0,0.0,6.75889,6.72634,0.0,0.0,0.0,0.0,0.0,0.0,42.18302,0.0,0.0,0.0,0.0,2.97575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86444,0.18501,5.42081,0.0,1.40189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00329,1.23846,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.78905,15.50111,15.08668,0.0,0.0,0.0,12.53297,0.0,20.48023,0.0,0.0,0.0,0.0,2.88386,0.0,0.0,0.0,0.0,0.0,0.0,52.84707,0.0,0.0,45.5126,11.4377,0.0,0.0,10.1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03374,11.90585,0.0,0.0,0.0,0.0,0.0,0.0,81.82981,0.0,0.0,3.84557,10.00409,0.0,0.0,0.0,0.0
2024-06-14,16.99833,0.0,6.96671,0.0,0.0,0.0,0.0,0.0,0.0,2.493,13.437,8.15842,11.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.55313,15.95935,5.37876,7.22662,8.16342,0.0,0.0,0.0,0.0,0.0,6.94799,0.0,0.0,0.0,0.0,6.43877,0.0,0.0,6.75777,0.0,0.0,3.59695,0.0,0.0,6.47998,6.62477,8.45632,15.19765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47626,0.0,0.0,6.79751,5.47645,0.0,0.0,0.0,0.0,0.0,0.0,23.79746,0.0,0.0,0.0,0.0,2.90067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89151,0.18168,5.47824,0.0,1.18714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.80829,0.87836,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.78167,15.39729,5.91169,0.0,0.0,0.0,11.30689,0.0,20.7392,0.0,0.0,0.0,0.0,2.89838,0.0,0.0,0.0,0.0,0.0,0.0,45.85333,0.0,0.0,40.68712,10.96395,0.0,0.0,8.19381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24621,11.17134,0.0,0.0,0.0,0.0,0.0,0.0,49.19609,0.0,0.0,5.11994,9.89581,0.0,0.0,0.0,0.0
2024-06-15,16.96518,0.0,6.87093,0.0,0.0,0.0,0.0,0.0,0.0,3.36694,13.05818,8.06381,10.95656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15704,12.54047,5.45913,7.1349,8.06482,0.0,0.0,0.0,0.0,0.0,6.13122,0.0,0.0,0.0,0.0,6.42666,0.0,0.0,5.93529,0.0,0.0,6.26456,0.0,0.0,6.43329,6.43011,16.66031,12.48816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81716,0.0,0.0,28.17279,5.62202,0.0,0.0,0.0,0.0,0.0,0.0,23.79636,0.0,0.0,0.0,0.0,2.96049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92768,0.34328,5.52932,0.0,0.92545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87548,0.90576,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.68975,12.50275,10.43428,0.0,0.0,0.0,11.85194,0.0,10.14624,0.0,0.0,0.0,0.0,2.91253,0.0,0.0,0.0,0.0,0.0,0.0,47.3153,0.0,0.0,45.96009,12.38252,0.0,0.0,8.08465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4168,4.52513,0.0,0.0,0.0,0.0,0.0,0.0,50.42829,0.0,0.0,5.72892,4.12538,0.0,0.0,0.0,0.0
