name,pool_id
ethena-usde_SUSDE_Ethereum,https://yields.llama.fi/chart/66985a81-9c51-46ca-9977-42b4fe7bc6df
aave-v3_PT-SUSDE-31JUL2025_Ethereum,https://yields.llama.fi/chart/cb268ea2-fa3f-4619-95ad-21986442f0b7
aave-v3_USDT_Ethereum,https://yields.llama.fi/chart/f981a304-bb6c-45b8-b0c5-fd2f515ad23a
aave-v3_PT-EUSDE-14AUG2025_Ethereum,https://yields.llama.fi/chart/6c0309f6-7fc0-4c56-b025-b5ac91ec42a6
morpho-blue_SPARKUSDC_Base,https://yields.llama.fi/chart/9f146531-9c31-46ba-8e26-6b59bdaca9ff
aave-v3_USDC_Ethereum,https://yields.llama.fi/chart/aa70268e-4b52-42bf-a116-608b370f9501
fluid-lending_USDC_Ethereum,https://yields.llama.fi/chart/4438dabc-7f0c-430b-8136-2722711ae663
aave-v3_SUSDE_Ethereum,https://yields.llama.fi/chart/29932dea-cd71-44c3-95bd-3e1525f4e3dd
morpho-blue_USUALUSDC+_Ethereum,https://yields.llama.fi/chart/32d65ccd-5c07-4b45-8441-98bc86c0720a
aave-v3_USDE_Ethereum,https://yields.llama.fi/chart/21e1ac8a-b3aa-4576-9506-0b40137721a0
fluid-lending_USDT_Ethereum,https://yields.llama.fi/chart/4e8cc592-c8d5-4824-8155-128ba521e903
morpho-blue_STEAKUSDC_Ethereum,https://yields.llama.fi/chart/a44febf3-34f6-4cd5-8ab1-f246ebe49f9e
morpho-blue_SPDAI_Ethereum,https://yields.llama.fi/chart/30347261-b48b-4781-b394-081e630d49a9
aave-v3_PT-USDE-31JUL2025_Ethereum,https://yields.llama.fi/chart/7b6a2815-52ec-4968-b30e-df1ece80dda1
morpho-blue_REUSDC_Ethereum,https://yields.llama.fi/chart/0677605a-0842-40af-8b8d-9d4ba5f55de3
morpho-blue_PT-USDS-14AUG2025_Ethereum,https://yields.llama.fi/chart/a0f7fa27-06f9-4cb7-8ad4-2387e9bcef44
morpho-blue_BBQUSDC_Ethereum,https://yields.llama.fi/chart/6fcfa6f7-861f-4d50-b594-190f4be37abf
morpho-blue_SYRUPUSDC_Ethereum,https://yields.llama.fi/chart/d202a84b-51a5-413a-b257-094649ac57c9
aave-v3_USDS_Ethereum,https://yields.llama.fi/chart/e65588a1-27ad-4e20-9232-68a6cfaccf63
morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,https://yields.llama.fi/chart/acf0789d-7dbc-45ab-8294-073e917eb3fe
morpho-blue_GTUSDCCORE_Ethereum,https://yields.llama.fi/chart/468e4c2c-02df-427a-b2c7-5cea3a77014a
morpho-blue_STEAKUSDT_Ethereum,https://yields.llama.fi/chart/2bad58b8-13f6-41c6-9245-a9dc1ea85be9
aave-v3_USDC_Arbitrum,https://yields.llama.fi/chart/d9fa8e14-0447-4207-9ae8-7810199dfa1f
aave-v3_USDC_Avalanche,https://yields.llama.fi/chart/c4b05318-88af-4536-a834-f5fc8940d2d3
morpho-blue_GTUSDC_Ethereum,https://yields.llama.fi/chart/ab439af4-9978-4542-bc65-2772dfb79e50
morpho-blue_HUSDC_Ethereum,https://yields.llama.fi/chart/b3553660-cefd-4682-b03f-2aa0b306d047
morpho-blue_PT-SUSDE-31JUL2025_Ethereum,https://yields.llama.fi/chart/344cc6da-e042-4002-bd87-8f4e61e0f5f3
morpho-blue_PT-SUSDE-31JUL2025_Ethereum,https://yields.llama.fi/chart/ff463181-369b-4d99-9a05-a560688d690c
morpho-blue_SMUSDC_Base,https://yields.llama.fi/chart/4a22de3c-271e-4152-b8d8-29053de06f37
morpho-blue_GTUSDCF_Ethereum,https://yields.llama.fi/chart/51b5c6c2-d2f2-45f6-95b0-314efbfae6d7
morpho-blue_CSUSDC_Ethereum,https://yields.llama.fi/chart/6a0e61be-a4d0-4649-bc26-09cc40910214
morpho-blue_CSUSDC_Ethereum,https://yields.llama.fi/chart/66159102-0702-4387-862c-918bcd2a8a0d
aave-v3_DAI_Ethereum,https://yields.llama.fi/chart/3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac
fluid-lending_USDC_Arbitrum,https://yields.llama.fi/chart/4c45cc9e-e1a4-43c9-8a3d-687d96abb07c
morpho-blue_MWUSDC_Base,https://yields.llama.fi/chart/1643c124-f047-4fc5-9642-d6fa91875184
fluid-lending_SUSDE_Ethereum,https://yields.llama.fi/chart/36b0894c-79c8-42bf-9d04-e97b62c85351
morpho-blue_HYPERUSDC_Ethereum,https://yields.llama.fi/chart/04597889-bb52-4ae9-aafa-ba64e3d9c7c6
aave-v3_USDT_Avalanche,https://yields.llama.fi/chart/e6692d08-85b6-4b50-952b-7c5c531862fe
fluid-lending_SUSDS_Ethereum,https://yields.llama.fi/chart/f918753b-4cf3-4eec-97aa-ab6b5409b5f9
aave-v3_PT-EUSDE-29MAY2025_Ethereum,https://yields.llama.fi/chart/2b6540de-ce79-4787-b629-eb23b43d5ad0
aave-v3_USDC_Base,https://yields.llama.fi/chart/7e0661bf-8cf3-45e6-9424-31916d4c7b84
morpho-blue_VBSHUSDC_Ethereum,https://yields.llama.fi/chart/0f51b1aa-bb24-46ff-ba86-84d63beef8eb
fluid-lending_USDC_Polygon,https://yields.llama.fi/chart/b64ea0b3-befa-4333-be3d-91f0d19e3e6d
aave-v2_USDC_Ethereum,https://yields.llama.fi/chart/a349fea4-d780-4e16-973e-70ca9b606db2
fluid-lending_USDC_Base,https://yields.llama.fi/chart/7372edda-f07f-4598-83e5-4edec48c4039
fluid-lending_USDT_Polygon,https://yields.llama.fi/chart/4a61f9bc-3e9a-4849-8b2c-67574dd22a86
aave-v3_USDT_Polygon,https://yields.llama.fi/chart/7e7821a2-3d20-4ae7-9c3d-04cd57904555
aave-v3_SUSDE_Ethereum,https://yields.llama.fi/chart/d25b5f1e-3368-4c79-a876-479834b15195
aave-v3_USDC_Polygon,https://yields.llama.fi/chart/1b8b4cdb-0728-42a8-bf13-2c8fea7427ee
morpho-blue_SUSDE_Ethereum,https://yields.llama.fi/chart/c0921c0f-51aa-45b8-87e3-5eec59a6972b
morpho-blue_GTUSDT_Ethereum,https://yields.llama.fi/chart/4cecbdfa-7189-4801-88ef-cdfee4b23298
morpho-blue_RESOLVUSDC_Ethereum,https://yields.llama.fi/chart/35f69e37-d650-4960-ba4a-8a7021a7c782
morpho-blue_FUSDC_Ethereum,https://yields.llama.fi/chart/b94eb474-2c96-404b-a822-0ed3fadd0148
morpho-blue_GTEUSDC_Ethereum,https://yields.llama.fi/chart/456f5bec-a81b-4862-926b-e9e00c97e7c7
morpho-blue_SBMORPHOUSDC_Ethereum,https://yields.llama.fi/chart/c938c26a-2339-46a7-88fb-9ce48d4adf6a
aave-v3_USDTB_Ethereum,https://yields.llama.fi/chart/baee0253-eb6e-4a08-a579-a2acd4f034b2
euler-v2_USDC_Ethereum,https://yields.llama.fi/chart/fa68041a-2ce5-4ee5-88a0-ec5185f0bdb7
morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,https://yields.llama.fi/chart/505fb668-fef4-4fad-af69-163617bbaa5a
morpho-blue_APRUSDC_Ethereum,https://yields.llama.fi/chart/a1b0e78d-56c7-4259-9deb-93e18aafadbb
aave-v2_DAI_Ethereum,https://yields.llama.fi/chart/405d8dad-5c99-4c91-90d3-82813ade1ff1
fluid-lending_USDC_Ethereum,https://yields.llama.fi/chart/77143065-ddb5-4cc8-893f-aefb021ad837
euler-v2_USDC_Avalanche,https://yields.llama.fi/chart/737e7847-d654-4f53-ab42-6c84c814291d
morpho-blue_SUSDE_Ethereum,https://yields.llama.fi/chart/51de19bd-d2a6-420e-9bbd-350c967b23d0
aave-v3_USDS_Ethereum,https://yields.llama.fi/chart/55205d7a-7939-42aa-ad8a-0c0123db9474
morpho-blue_EUSDE_Ethereum,https://yields.llama.fi/chart/db1e5ceb-8d9e-46a2-a464-22f8251ad765
morpho-blue_GTDAICORE_Ethereum,https://yields.llama.fi/chart/b34a886f-fafe-4252-b141-71eae1839ebc
aave-v2_USDT_Ethereum,https://yields.llama.fi/chart/60d657c9-5f63-4771-a85b-2cf8d507ec00
morpho-blue_GTUSDCC_Base,https://yields.llama.fi/chart/34d90c49-da88-49b2-937e-04c2b1f5d7fe
morpho-blue_FXUSDC_Ethereum,https://yields.llama.fi/chart/5dbdc9fe-8df3-40e8-8c4e-ec517948453f
morpho-blue_BBQUSDT_Ethereum,https://yields.llama.fi/chart/5f25e831-d41f-4e34-97ac-5325f44ba4e2
euler-v2_EUSDE_Ethereum,https://yields.llama.fi/chart/633e9a19-50a8-448a-9d02-87f8860074bc
morpho-blue_PT-USDE-31JUL2025_Ethereum,https://yields.llama.fi/chart/6e39fc70-fee9-40c5-b57e-8f3f67cbb995
fluid-lending_SUSDE_Ethereum,https://yields.llama.fi/chart/2b389744-c2d6-40f4-b128-c9b7784b3417
morpho-blue_GTUSDCP_Base,https://yields.llama.fi/chart/b6b2dd6c-de60-4d6f-9a30-85ec24c514d3
morpho-blue_USDE_Ethereum,https://yields.llama.fi/chart/45ef8c9e-bab3-44ae-bcf1-3c38044e0399
euler-v2_USDC_Ethereum,https://yields.llama.fi/chart/a0f53224-c152-416e-8599-4563e70c6040
morpho-blue_HYUSDC_Ethereum,https://yields.llama.fi/chart/9674ffb3-faaf-4d93-99e7-1175ca0ad643
morpho-blue_STEAKUSDC_Base,https://yields.llama.fi/chart/3ad60cb7-74db-448b-9e3b-e6af576e697f
fluid-lending_SUSDE_Ethereum,https://yields.llama.fi/chart/8ce99629-db2a-49ef-8fa0-f57e4777de79
euler-v2_USDT_Avalanche,https://yields.llama.fi/chart/ab6d490b-0970-49e6-8859-545df298e1f5
morpho-blue_GTMSUSDC_Ethereum,https://yields.llama.fi/chart/c21748f7-d4a5-4f6f-b035-d059d8182aee
morpho-blue_PT-SUSDE-31JUL2025_Ethereum,https://yields.llama.fi/chart/65ef64fa-70fb-4c29-ae43-c0118b7e0740
aave-v2_USDC.E_Avalanche,https://yields.llama.fi/chart/32fad564-35de-407e-a660-159b43bd95a1
morpho-blue_SUSDE_Ethereum,https://yields.llama.fi/chart/c7fe2c3c-d765-44df-8a30-9e2cf9cdad35
morpho-blue_STEAKUSDCLEVEL_Ethereum,https://yields.llama.fi/chart/5c6b29e8-9067-4fef-b27e-6eb2f0d9548e
euler-v2_USDC_Ethereum,https://yields.llama.fi/chart/147a01ef-7f0d-4781-b756-84b33b45f721
morpho-blue_COUSDC_Base,https://yields.llama.fi/chart/d184356d-69c9-4f6e-8b7b-5a0a3aa6ed27
morpho-blue_APRUSDE_Ethereum,https://yields.llama.fi/chart/4abf2ee1-9181-4bd3-b7cf-2bf53696f7d3
morpho-blue_VBGTUSDT_Ethereum,https://yields.llama.fi/chart/a26a7f9d-e55a-466a-b9fe-4041ce950cf0
