name,pool_id,market,coin,chain,is_stablecoin,address
aave-v3_USDT_Ethereum,https://yields.llama.fi/chart/f981a304-bb6c-45b8-b0c5-fd2f515ad23a,aave-v3,USDT,Ethereum,True,0xdAC17F958D2ee523a2206206994597C13D831ec7
morpho-blue_SPARKUSDC_Base,https://yields.llama.fi/chart/9f146531-9c31-46ba-8e26-6b59bdaca9ff,morpho-blue,SPARKUSDC,Base,True,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913
aave-v3_USDC_Ethereum,https://yields.llama.fi/chart/aa70268e-4b52-42bf-a116-608b370f9501,aave-v3,USDC,Ethereum,True,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
fluid-lending_USDC_Ethereum,https://yields.llama.fi/chart/4438dabc-7f0c-430b-8136-2722711ae663,fluid-lending,USDC,Ethereum,True,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
fluid-lending_USDT_Ethereum,https://yields.llama.fi/chart/4e8cc592-c8d5-4824-8155-128ba521e903,fluid-lending,USDT,Ethereum,True,0xdAC17F958D2ee523a2206206994597C13D831ec7
morpho-blue_STEAKUSDC_Ethereum,https://yields.llama.fi/chart/a44febf3-34f6-4cd5-8ab1-f246ebe49f9e,morpho-blue,STEAKUSDC,Ethereum,True,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
morpho-blue_USUALUSDC+_Ethereum,https://yields.llama.fi/chart/32d65ccd-5c07-4b45-8441-98bc86c0720a,morpho-blue,USUALUSDC+,Ethereum,True,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
morpho-blue_REUSDC_Ethereum,https://yields.llama.fi/chart/0677605a-0842-40af-8b8d-9d4ba5f55de3,morpho-blue,REUSDC,Ethereum,True,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
morpho-blue_BBQUSDC_Ethereum,https://yields.llama.fi/chart/6fcfa6f7-861f-4d50-b594-190f4be37abf,morpho-blue,BBQUSDC,Ethereum,True,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
morpho-blue_SYRUPUSDC_Ethereum,https://yields.llama.fi/chart/d202a84b-51a5-413a-b257-094649ac57c9,morpho-blue,SYRUPUSDC,Ethereum,True,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b
