date,protocol,asset,chain,best_apy,tvl,tvl_usd,apy_base,apy_reward
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,30.54667,2213621,2213621,29.4298,1.11687
2024-06-07,ethena-usde,SUSDE,Ethereum,25.36063,1329644669,1329644669,25.36063,0.0
2024-06-08,ethena-usde,SUSDE,Ethereum,24.68142,1362463072,1362463072,24.68142,0.0
2024-06-09,morpho-blue,GTUSDCCORE,Ethereum,46.35642,5543265,5543265,44.07832,2.2781
2024-06-10,ethena-usde,SUSDE,Ethereum,23.4354,1427595183,1427595183,23.4354,0.0
2024-06-11,ethena-usde,SUSDE,Ethereum,23.00921,1451486797,1451486797,23.00921,0.0
2024-06-12,ethena-usde,SUSDE,Ethereum,22.62092,1474034683,1474034683,22.62092,0.0
2024-06-13,morpho-blue,GTUSDCCORE,Ethereum,18.94758,6217226,6217226,18.94758,0.0
2024-06-14,morpho-blue,GTUSDCCORE,Ethereum,18.55313,6319325,6319325,18.55313,0.0
2024-06-15,morpho-blue,GTDAICORE,Ethereum,28.17279,106203,106203,28.17279,0.0
2024-06-16,morpho-blue,GTDAICORE,Ethereum,29.67091,105884,105884,29.67091,0.0
2024-06-17,morpho-blue,GTDAICORE,Ethereum,31.28554,106204,106204,31.28554,0.0
2024-06-18,morpho-blue,STEAKUSDT,Ethereum,17.81354,5509616,5509616,17.81354,0.0
2024-06-19,morpho-blue,GTDAICORE,Ethereum,27.97482,108794,108794,27.97482,0.0
2024-06-20,morpho-blue,GTDAICORE,Ethereum,17.03716,112282,112282,17.03716,0.0
2024-06-21,morpho-blue,GTUSDCC,Base,31.91553,1003373,1003373,0.13524,31.78029
2024-06-22,morpho-blue,RE7USDC,Base,16.98968,248354,248354,0.35618,16.63351
2024-06-23,morpho-blue,RE7USDC,Base,16.3289,377484,377484,0.07521,16.25368
2024-06-24,morpho-blue,RE7USDC,Base,16.85617,689889,689889,0.05944,16.79673
2024-06-25,morpho-blue,MWUSDC,Base,16.21839,7231709,7231709,0.39802,15.82037
2024-06-26,morpho-blue,MWUSDC,Base,16.61641,6886928,6886928,0.46304,16.15336
2024-06-27,fluid-lending,USDT,Ethereum,14.80985,53099481,53099481,14.80985,0.0
2024-06-28,morpho-blue,RE7USDC,Base,14.71115,751091,751091,0.04199,14.66916
2024-06-29,morpho-blue,RE7USDC,Base,13.38486,847769,847769,0.0372,13.34766
2024-06-30,fluid-lending,USDT,Ethereum,12.40053,63314596,63314596,12.40053,0.0
2024-07-01,fluid-lending,USDT,Ethereum,12.28783,64030843,64030843,12.28783,0.0
2024-07-02,morpho-blue,RE7USDC,Base,15.24174,1130297,1130297,0.04465,15.19709
2024-07-03,morpho-blue,RE7USDC,Base,12.35478,975275,975275,0.02264,12.33214
2024-07-04,ethena-usde,SUSDE,Ethereum,15.63481,1531081404,1531081404,15.63481,0.0
2024-07-05,ethena-usde,SUSDE,Ethereum,15.73597,1521906664,1521906664,15.73597,0.0
2024-07-06,ethena-usde,SUSDE,Ethereum,15.68584,1526438590,1526438590,15.68584,0.0
2024-07-07,ethena-usde,SUSDE,Ethereum,15.70203,1524971504,1524971504,15.70203,0.0
2024-07-08,ethena-usde,SUSDE,Ethereum,15.71214,1524057880,1524057880,15.71214,0.0
2024-07-09,ethena-usde,SUSDE,Ethereum,15.71947,1523395682,1523395682,15.71947,0.0
2024-07-10,ethena-usde,SUSDE,Ethereum,15.67227,1527669899,1527669899,15.67227,0.0
2024-07-11,fluid-lending,USDT,Ethereum,12.11914,65054114,65054114,12.11914,0.0
2024-07-12,fluid-lending,USDT,Ethereum,12.57131,62714238,62714238,12.57131,0.0
2024-07-13,fluid-lending,USDT,Ethereum,12.2391,64803569,64803569,12.2391,0.0
2024-07-14,fluid-lending,USDT,Ethereum,12.19846,64631107,64631107,12.19846,0.0
2024-07-15,fluid-lending,USDT,Ethereum,12.13404,65104234,65104234,12.13404,0.0
2024-07-16,fluid-lending,USDT,Ethereum,11.70035,67517412,67517412,11.70035,0.0
2024-07-17,morpho-blue,RE7USDC,Base,12.43318,566491,566491,1.09708,11.3361
2024-07-18,morpho-blue,GTUSDCP,Base,15.8479,371134,371134,3.22014,12.62776
2024-07-19,morpho-blue,GTDAICORE,Ethereum,13.55763,164948,164948,13.55763,0.0
2024-07-20,fluid-lending,USDT,Ethereum,12.2674,64654086,64654086,12.2674,0.0
2024-07-21,aave-v3,USDT,Avalanche,16.77419,2293870,2293870,16.77419,0.0
2024-07-22,fluid-lending,USDT,Ethereum,12.29435,64255353,64255353,12.29435,0.0
2024-07-23,fluid-lending,USDT,Ethereum,11.83156,66635345,66635345,11.83156,0.0
2024-07-24,morpho-blue,GTEUSDC,Ethereum,52.5609,1371206,1371206,3.33138,49.22952
2024-07-25,morpho-blue,GTEUSDC,Ethereum,41.38298,1635273,1635273,2.47027,38.91271
2024-07-26,ethena-usde,SUSDE,Ethereum,12.23029,1550526725,1550526725,12.23029,0.0
2024-07-27,morpho-blue,GTEUSDC,Ethereum,29.41771,2688555,2688555,5.43755,23.98016
2024-07-28,aave-v3,USDC,Base,21.0856,2009958,2009958,21.0856,0.0
2024-07-29,morpho-blue,USUALUSDC+,Ethereum,26.63577,11842309,11842309,26.63577,0.0
2024-07-30,morpho-blue,GTEUSDC,Ethereum,23.39019,2976259,2976259,2.3566,21.03359
2024-07-31,morpho-blue,GTEUSDC,Ethereum,23.01021,2976864,2976864,2.35972,20.65049
2024-08-01,morpho-blue,GTEUSDC,Ethereum,19.3127,3477697,3477697,2.00214,17.31056
2024-08-02,morpho-blue,GTEUSDC,Ethereum,18.78742,3460852,3460852,2.79385,15.99358
2024-08-03,morpho-blue,GTEUSDC,Ethereum,17.31642,3399328,3399328,2.00155,15.31487
2024-08-04,morpho-blue,GTEUSDC,Ethereum,15.29483,3628427,3628427,1.50729,13.78753
2024-08-05,morpho-blue,USUALUSDC+,Ethereum,42.90945,18346402,18346402,42.90945,0.0
2024-08-06,morpho-blue,GTEUSDC,Ethereum,26.15676,2597732,2597732,9.00999,17.14677
2024-08-07,morpho-blue,GTEUSDC,Ethereum,27.5549,2634190,2634190,11.56711,15.9878
2024-08-08,morpho-blue,USUALUSDC+,Ethereum,30.42228,22001624,22001624,30.42228,0.0
2024-08-09,morpho-blue,GTEUSDC,Ethereum,17.57983,3314530,3314530,2.68376,14.89607
2024-08-10,morpho-blue,GTEUSDC,Ethereum,16.72719,3630342,3630342,3.0931,13.63409
2024-08-11,morpho-blue,GTEUSDC,Ethereum,16.27721,3558227,3558227,3.16303,13.11418
2024-08-12,morpho-blue,GTEUSDC,Ethereum,16.47187,3646673,3646673,3.04996,13.42191
2024-08-13,morpho-blue,GTEUSDC,Ethereum,17.59,3716039,3716039,4.05133,13.53868
2024-08-14,fluid-lending,USDT,Ethereum,12.78394,61671121,61671121,12.78394,0.0
2024-08-15,morpho-blue,GTEUSDC,Ethereum,23.40019,3644496,3644496,10.63799,12.7622
2024-08-16,morpho-blue,GTEUSDC,Ethereum,18.59842,4006463,4006463,5.76789,12.83054
2024-08-17,morpho-blue,GTEUSDC,Ethereum,18.66994,4163239,4163239,4.85261,13.81733
2024-08-18,morpho-blue,GTEUSDC,Ethereum,18.95673,4268515,4268515,4.89513,14.0616
2024-08-19,morpho-blue,GTEUSDC,Ethereum,18.99161,4267927,4267927,5.10364,13.88797
2024-08-20,morpho-blue,GTEUSDC,Ethereum,20.54833,4313066,4313066,5.14891,15.39942
2024-08-21,fluid-lending,USDT,Ethereum,10.32036,61109013,61109013,10.32036,0.0
2024-08-22,fluid-lending,USDT,Ethereum,9.9606,63297528,63297528,9.9606,0.0
2024-08-23,fluid-lending,USDT,Ethereum,9.86091,63699150,63699150,9.86091,0.0
2024-08-24,morpho-blue,GTEUSDC,Ethereum,19.41087,5181928,5181928,3.49743,15.91344
2024-08-25,morpho-blue,GTEUSDC,Ethereum,20.08192,5183959,5183959,4.26395,15.81798
2024-08-26,morpho-blue,GTEUSDC,Ethereum,18.32113,5501720,5501720,3.33113,14.99
2024-08-27,morpho-blue,GTEUSDC,Ethereum,19.32928,5679321,5679321,4.9511,14.37818
2024-08-28,morpho-blue,GTEUSDC,Ethereum,15.02961,6800086,6800086,2.91193,12.11768
2024-08-29,morpho-blue,GTEUSDC,Ethereum,15.01588,6794734,6794734,2.89873,12.11714
2024-08-30,morpho-blue,GTEUSDC,Ethereum,15.00839,6797253,6797253,2.8934,12.11499
2024-08-31,morpho-blue,GTEUSDC,Ethereum,14.97038,6803285,6803285,2.87179,12.09859
2024-09-01,morpho-blue,GTEUSDC,Ethereum,13.69201,7546194,7546194,2.80343,10.88858
2024-09-02,morpho-blue,GTEUSDC,Ethereum,13.36026,7630157,7630157,2.57542,10.78485
2024-09-03,morpho-blue,GTEUSDC,Ethereum,13.28329,7897658,7897658,2.89885,10.38444
2024-09-04,morpho-blue,GTEUSDC,Ethereum,13.77985,7502255,7502255,2.82857,10.95128
2024-09-05,morpho-blue,GTEUSDC,Ethereum,12.31903,7479948,7479948,2.83302,9.48602
2024-09-06,morpho-blue,GTEUSDC,Ethereum,13.59235,6280369,6280369,2.17083,11.42152
2024-09-07,fluid-lending,USDT,Ethereum,8.52108,74005318,74005318,8.52108,0.0
2024-09-08,fluid-lending,USDT,Ethereum,8.55063,73613606,73613606,8.55063,0.0
2024-09-09,fluid-lending,USDT,Ethereum,8.41887,74917427,74917427,8.41887,0.0
