date,protocol,asset,chain,best_apy_base,tvl,tvl_usd,apy_base,apy_reward
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,29.4298,2213621,2213621,29.4298,1.11687
2024-06-07,morpho-blue,GTUSDCCORE,Ethereum,22.39534,2685301,2685301,22.39534,1.71863
2024-06-08,morpho-blue,GTUSDCCORE,Ethereum,17.93347,4204093,4204093,17.93347,1.40027
2024-06-09,morpho-blue,GTUSDCCORE,Ethereum,44.07832,5543265,5543265,44.07832,2.2781
2024-06-10,morpho-blue,GTUSDCCORE,Ethereum,16.18035,8403867,8403867,16.18035,0.0
2024-06-11,morpho-blue,GTUSDCCORE,Ethereum,22.77288,4871001,4871001,22.77288,0.22551
2024-06-12,morpho-blue,GTUSDCCORE,Ethereum,18.32828,6571632,6571632,18.32828,0.06866
2024-06-13,morpho-blue,GTUSDCCORE,Ethereum,18.94758,6217226,6217226,18.94758,0.0
2024-06-14,morpho-blue,GTUSDCCORE,Ethereum,18.55313,6319325,6319325,18.55313,0.0
2024-06-15,morpho-blue,GTUSDCCORE,Ethereum,16.15704,7466275,7466275,16.15704,0.0
2024-06-16,morpho-blue,GTUSDCCORE,Ethereum,14.36342,9157760,9157760,14.36342,0.0
2024-06-17,morpho-blue,GTUSDCCORE,Ethereum,14.23593,9207174,9207174,14.23593,0.0
2024-06-18,morpho-blue,STEAKUSDT,Ethereum,17.81354,5509616,5509616,17.81354,0.0
2024-06-19,morpho-blue,GTUSDCCORE,Ethereum,15.70987,8447036,8447036,15.70987,0.0
2024-06-20,fluid-lending,USDT,Ethereum,15.9068,49501271,49501271,15.9068,0.0
2024-06-21,morpho-blue,STEAKUSDT,Ethereum,17.57748,5463729,5463729,17.57748,0.0
2024-06-22,fluid-lending,USDT,Ethereum,14.11149,55833743,55833743,14.11149,0.0
2024-06-23,fluid-lending,USDT,Ethereum,14.43235,54554531,54554531,14.43235,0.0
2024-06-24,fluid-lending,USDT,Ethereum,15.4998,50781383,50781383,15.4998,0.0
2024-06-25,fluid-lending,USDT,Ethereum,15.326,51400548,51400548,15.326,0.0
2024-06-26,fluid-lending,USDT,Ethereum,15.19864,51820679,51820679,15.19864,0.0
2024-06-27,fluid-lending,USDT,Ethereum,14.80985,53099481,53099481,14.80985,0.0
2024-06-28,fluid-lending,USDT,Ethereum,13.2386,59319091,59319091,13.2386,0.0
2024-06-29,fluid-lending,USDT,Ethereum,12.86356,61187474,61187474,12.86356,0.0
2024-06-30,fluid-lending,USDT,Ethereum,12.40053,63314596,63314596,12.40053,0.0
2024-07-01,fluid-lending,USDT,Ethereum,12.28783,64030843,64030843,12.28783,0.0
2024-07-02,fluid-lending,USDT,Ethereum,11.88252,66205374,66205374,11.88252,0.0
2024-07-03,fluid-lending,USDT,Ethereum,12.09753,65073403,65073403,12.09753,0.0
2024-07-04,morpho-blue,FXUSDC,Ethereum,13.82697,372889,372889,13.82697,26.79121
2024-07-05,fluid-lending,USDT,Ethereum,12.90593,61210423,61210423,12.90593,0.0
2024-07-06,fluid-lending,USDT,Ethereum,12.53593,62891217,62891217,12.53593,0.0
2024-07-07,fluid-lending,USDT,Ethereum,13.09733,60141806,60141806,13.09733,0.0
2024-07-08,fluid-lending,USDT,Ethereum,12.80964,61504212,61504212,12.80964,0.0
2024-07-09,morpho-blue,GTUSDT,Ethereum,15.27302,5315537,5315537,15.27302,0.0
2024-07-10,fluid-lending,USDT,Ethereum,12.65641,62272221,62272221,12.65641,0.0
2024-07-11,fluid-lending,USDT,Ethereum,12.11914,65054114,65054114,12.11914,0.0
2024-07-12,fluid-lending,USDT,Ethereum,12.57131,62714238,62714238,12.57131,0.0
2024-07-13,fluid-lending,USDT,Ethereum,12.2391,64803569,64803569,12.2391,0.0
2024-07-14,morpho-blue,FXUSDC,Ethereum,12.38327,818901,818901,12.38327,9.9068
2024-07-15,fluid-lending,USDT,Ethereum,12.13404,65104234,65104234,12.13404,0.0
2024-07-16,fluid-lending,USDT,Ethereum,11.70035,67517412,67517412,11.70035,0.0
2024-07-17,fluid-lending,USDT,Ethereum,11.70031,67382809,67382809,11.70031,0.0
2024-07-18,aave-v3,USDC,Polygon,21.74225,1927752,1927752,21.74225,0.0
2024-07-19,fluid-lending,USDT,Ethereum,12.25593,64328070,64328070,12.25593,0.0
2024-07-20,fluid-lending,USDT,Ethereum,12.2674,64654086,64654086,12.2674,0.0
2024-07-21,aave-v3,USDT,Avalanche,16.77419,2293870,2293870,16.77419,0.0
2024-07-22,morpho-blue,FXUSDC,Ethereum,13.93642,1913065,1913065,13.93642,3.8366
2024-07-23,aave-v3,USDC,Polygon,19.93052,2064184,2064184,19.93052,0.0
2024-07-24,morpho-blue,STEAKUSDT,Ethereum,19.8883,5046545,5046545,19.8883,0.0
2024-07-25,morpho-blue,FXUSDC,Ethereum,23.95433,1837827,1837827,23.95433,2.47089
2024-07-26,morpho-blue,USUALUSDC+,Ethereum,12.13151,3128950,3128950,12.13151,0.0
2024-07-27,morpho-blue,USUALUSDC+,Ethereum,20.38838,6028716,6028716,20.38838,0.0
2024-07-28,aave-v3,USDC,Base,21.0856,2009958,2009958,21.0856,0.0
2024-07-29,morpho-blue,USUALUSDC+,Ethereum,26.63577,11842309,11842309,26.63577,0.0
2024-07-30,morpho-blue,USUALUSDC+,Ethereum,13.1467,17125169,17125169,13.1467,0.0
2024-07-31,morpho-blue,FXUSDC,Ethereum,28.34078,1402233,1402233,28.34078,0.0
2024-08-01,morpho-blue,USUALUSDC+,Ethereum,17.25944,18864571,18864571,17.25944,0.0
2024-08-02,morpho-blue,FXUSDC,Ethereum,13.79716,1499069,1499069,13.79716,3.91791
2024-08-03,morpho-blue,FXUSDC,Ethereum,33.90011,1398809,1398809,33.90011,1.959
2024-08-04,morpho-blue,USUALUSDC+,Ethereum,12.94478,21031002,21031002,12.94478,0.0
2024-08-05,morpho-blue,USUALUSDC+,Ethereum,42.90945,18346402,18346402,42.90945,0.0
2024-08-06,fluid-lending,USDC,Ethereum,12.64696,62310052,62310052,12.64696,0.0
2024-08-07,fluid-lending,USDT,Ethereum,12.89313,61148844,61148844,12.89313,0.0
2024-08-08,morpho-blue,USUALUSDC+,Ethereum,30.42228,22001624,22001624,30.42228,0.0
2024-08-09,fluid-lending,USDT,Ethereum,12.83754,61536543,61536543,12.83754,0.0
2024-08-10,fluid-lending,USDT,Ethereum,12.64401,62353620,62353620,12.64401,0.0
2024-08-11,fluid-lending,USDT,Ethereum,12.83776,61246639,61246639,12.83776,0.0
2024-08-12,fluid-lending,USDT,Ethereum,12.86057,61303662,61303662,12.86057,0.0
2024-08-13,fluid-lending,USDT,Ethereum,13.19719,59739982,59739982,13.19719,0.0
2024-08-14,fluid-lending,USDT,Ethereum,12.78394,61671121,61671121,12.78394,0.0
2024-08-15,fluid-lending,USDT,Ethereum,12.5854,62769358,62769358,12.5854,0.0
2024-08-16,fluid-lending,USDT,Ethereum,12.76453,61752303,61752303,12.76453,0.0
2024-08-17,fluid-lending,USDT,Ethereum,12.03547,65506352,65506352,12.03547,0.0
2024-08-18,morpho-blue,USUALUSDC+,Ethereum,10.92652,31859060,31859060,10.92652,0.0
2024-08-19,morpho-blue,USUALUSDC+,Ethereum,11.60653,32010249,32010249,11.60653,0.0
2024-08-20,fluid-lending,USDT,Ethereum,9.74423,64727508,64727508,9.74423,0.0
2024-08-21,fluid-lending,USDT,Ethereum,10.32036,61109013,61109013,10.32036,0.0
2024-08-22,fluid-lending,USDT,Ethereum,9.9606,63297528,63297528,9.9606,0.0
2024-08-23,fluid-lending,USDT,Ethereum,9.86091,63699150,63699150,9.86091,0.0
2024-08-24,fluid-lending,USDT,Ethereum,10.06386,62671749,62671749,10.06386,0.0
2024-08-25,fluid-lending,USDT,Ethereum,10.08245,62681398,62681398,10.08245,0.0
2024-08-26,fluid-lending,USDT,Ethereum,9.62161,65529203,65529203,9.62161,0.0
2024-08-27,fluid-lending,USDT,Ethereum,9.78954,64556856,64556856,9.78954,0.0
2024-08-28,fluid-lending,USDT,Ethereum,9.7785,64629772,64629772,9.7785,0.0
2024-08-29,fluid-lending,USDT,Ethereum,9.7106,64951704,64951704,9.7106,0.0
2024-08-30,fluid-lending,USDT,Ethereum,9.76823,64560600,64560600,9.76823,0.0
2024-08-31,fluid-lending,USDT,Ethereum,9.71865,64873531,64873531,9.71865,0.0
2024-09-01,fluid-lending,USDT,Ethereum,9.59402,65206788,65206788,9.59402,0.0
2024-09-02,fluid-lending,USDT,Ethereum,9.74781,64703772,64703772,9.74781,0.0
2024-09-03,fluid-lending,USDT,Ethereum,9.64306,65338483,65338483,9.64306,0.0
2024-09-04,fluid-lending,USDT,Ethereum,8.9911,70128335,70128335,8.9911,0.0
2024-09-05,morpho-blue,STEAKUSDT,Ethereum,10.1574,4842998,4842998,10.1574,0.0
2024-09-06,fluid-lending,USDT,Ethereum,8.75769,71964847,71964847,8.75769,0.0
2024-09-07,fluid-lending,USDT,Ethereum,8.52108,74005318,74005318,8.52108,0.0
2024-09-08,fluid-lending,USDT,Ethereum,8.55063,73613606,73613606,8.55063,0.0
2024-09-09,fluid-lending,USDT,Ethereum,8.41887,74917427,74917427,8.41887,0.0
2024-09-10,fluid-lending,USDT,Ethereum,8.3589,75605880,75605880,8.3589,0.0
