date,aave-v3_USDT_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDTB_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,aave-v3_USDC_Avalanche,morpho-blue_SMUSDC_Base,morpho-blue_VBSHUSDC_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,fluid-lending_USDC_Arbitrum,aave-v3_USDC_Base,morpho-blue_MWUSDC_Base,aave-v3_USDT_Avalanche,morpho-blue_SUSDS_Ethereum,fluid-lending_SUSDS_Arbitrum
2024-06-06,7.39565,0.0,11.91186,11.26,14.31714,15.1565,0.0,0.0,0.0,0.0,30.54667,16.12974,14.28597,0.0,15.17502,0.0,7.17198,0.0,0.0,0.0,0.0,0.0,11.99553,0.0,9.54383,0.0,0.0
2024-06-07,6.53898,0.0,11.98452,11.1671,14.48306,8.25579,0.0,0.0,0.0,0.0,24.11397,9.01531,10.45755,0.0,8.18875,0.0,9.55508,0.0,0.0,0.0,0.0,0.0,6.53261,0.0,7.00052,0.0,0.0
2024-06-08,6.67133,0.0,7.4014,11.53243,14.05493,8.90976,0.0,0.0,0.0,0.0,19.33373,7.51661,9.54907,0.0,8.83538,0.0,7.10253,0.0,0.0,0.0,0.0,0.0,6.61448,0.0,7.00364,0.0,0.0
2024-06-09,6.66965,0.0,7.31854,10.78145,14.14491,10.3381,0.0,0.0,0.0,0.0,46.35642,6.75272,8.29102,0.0,10.6325,0.0,7.23399,0.0,0.0,0.0,0.0,0.0,6.45085,0.0,7.06768,0.0,0.0
2024-06-10,6.80228,0.0,7.44194,11.32447,14.24906,7.80178,0.0,0.0,0.0,0.0,16.18035,6.48192,7.28453,0.0,7.79035,0.0,10.00146,0.0,0.0,0.0,0.0,0.0,6.65049,0.0,7.56206,0.0,0.0
2024-06-11,7.14781,0.0,7.36741,11.01917,13.66761,7.72897,0.0,0.0,0.0,0.0,22.99839,6.49605,7.88722,0.0,7.73278,0.0,10.72673,0.0,0.0,0.0,0.0,0.0,11.5138,0.0,6.59878,0.0,0.0
2024-06-12,7.10526,0.0,7.27602,11.04877,14.22366,8.08735,0.0,0.0,0.0,0.0,18.39695,6.38328,7.27775,0.0,8.08606,0.0,7.09998,0.0,0.0,0.0,0.0,0.0,6.51988,0.0,6.75865,0.0,0.0
2024-06-13,6.92413,0.0,11.77067,9.59313,13.80179,10.1883,0.0,0.0,0.0,0.0,18.94758,15.88241,7.23027,0.0,10.18637,0.0,7.15823,0.0,0.0,0.0,0.0,0.0,6.87627,0.0,6.63374,0.0,0.0
2024-06-14,6.96671,0.0,7.36127,10.37139,13.437,8.15842,0.0,0.0,0.0,0.0,18.55313,15.95935,7.20414,0.0,8.16342,0.0,7.22662,0.0,0.0,0.0,0.0,0.0,6.75777,0.0,6.43877,0.0,0.0
2024-06-15,6.87093,0.0,7.24692,10.05626,13.05818,8.06381,0.0,0.0,0.0,0.0,16.15704,12.54047,7.00017,0.0,8.06482,0.0,7.1349,0.0,0.0,0.0,0.0,0.0,5.93529,0.0,6.42666,0.0,0.0
2024-06-16,6.85518,0.0,7.24708,9.58563,12.8929,7.37156,0.0,0.0,0.0,0.0,14.36342,7.77684,7.08069,0.0,7.372,0.0,8.81914,0.0,0.0,0.0,0.0,0.0,5.61798,0.0,6.45352,0.0,0.0
2024-06-17,6.81018,0.0,7.15784,9.46241,12.724,7.15455,0.0,0.0,0.0,0.0,14.23593,7.81937,7.05243,0.0,7.15688,0.0,7.22757,0.0,0.0,0.0,0.0,0.0,6.15444,0.0,6.19789,0.0,0.0
2024-06-18,6.55649,0.0,6.72609,9.78264,13.42586,7.32561,0.0,0.0,0.0,0.0,13.28537,17.81354,7.64835,0.0,7.33374,0.0,7.06351,0.0,0.0,0.0,0.0,0.0,6.53218,0.02752,6.28984,0.0,0.0
2024-06-19,6.53168,0.0,6.86607,10.29672,13.25217,7.95116,0.0,0.0,0.0,0.0,15.70987,10.21006,7.10065,0.0,7.95089,0.0,7.12651,0.0,0.0,0.0,0.0,0.0,6.02858,0.03991,7.10853,0.0,0.0
2024-06-20,6.17518,0.0,7.19988,11.29061,15.9068,8.02207,0.0,0.0,0.0,0.0,15.61716,9.32642,7.20924,0.0,8.02173,0.0,7.08973,0.0,0.0,0.0,0.0,0.0,6.02316,0.07451,6.45859,0.0,0.0
2024-06-21,4.82948,0.0,7.13966,11.41499,15.66351,7.27845,0.0,0.0,0.0,0.0,13.16506,17.57748,4.19227,0.0,7.26726,0.0,6.81453,0.0,0.0,0.0,0.0,0.0,6.18221,19.588,6.19879,0.0,0.0
2024-06-22,4.85682,0.0,6.97633,12.1602,14.11149,7.33483,0.0,0.0,0.0,0.0,13.24539,7.82917,4.38325,0.0,7.32128,0.0,6.81032,0.0,0.0,0.0,0.0,0.0,6.30588,15.55641,6.36706,0.0,0.0
2024-06-23,4.87886,0.0,7.43405,11.88239,14.43235,6.98871,0.0,0.0,0.0,0.0,12.87077,8.26651,4.64066,0.0,7.00677,0.0,7.03911,0.0,0.0,0.0,0.0,0.0,5.68565,15.46444,6.21491,0.0,0.0
2024-06-24,4.93514,0.0,7.32917,11.28549,15.4998,7.14955,0.0,0.0,0.0,0.0,13.34111,6.12339,4.88254,0.0,7.17595,0.0,7.02445,0.0,0.0,0.0,0.0,0.0,6.04147,15.15558,5.73741,0.0,0.0
2024-06-25,4.82432,0.0,7.18243,11.3411,15.326,7.35676,0.0,0.0,0.0,0.0,12.46198,6.49287,4.9445,0.0,7.35405,0.0,6.45777,0.0,0.0,0.0,0.0,0.0,5.89602,16.21839,5.94305,0.0,0.0
2024-06-26,4.93061,0.0,7.01275,11.42435,15.19864,6.90563,0.0,0.0,0.0,0.0,12.14943,6.24304,5.01765,0.0,6.91489,0.0,6.56929,0.0,0.0,0.0,0.0,0.0,6.03691,16.61641,5.97813,0.0,0.0
2024-06-27,4.81008,0.0,6.54328,12.17412,14.80985,6.66142,0.0,0.0,0.0,0.0,11.62102,6.15107,5.29494,0.0,6.65843,0.0,7.00946,0.0,0.0,0.0,0.0,0.0,6.10904,0.34936,6.1281,0.0,0.0
2024-06-28,4.80133,0.0,6.59879,11.87406,13.2386,6.57414,0.0,0.0,0.0,0.0,11.36236,6.19967,5.3504,0.0,6.62797,0.0,7.09557,0.0,0.0,0.0,0.0,0.0,6.31214,9.47995,5.80062,0.0,0.0
2024-06-29,4.6728,0.0,6.57371,11.39714,12.86356,7.54195,0.0,0.0,0.0,0.0,10.3132,6.62518,5.92709,0.0,7.53972,0.0,7.10377,0.0,0.0,0.0,0.0,0.0,5.92348,9.4751,5.69645,0.0,0.0
2024-06-30,4.78929,0.0,6.83022,11.71927,12.40053,6.97304,0.0,0.0,0.0,0.0,9.38796,6.44729,6.27186,0.0,6.92536,0.0,7.2199,0.0,0.0,0.0,0.0,0.0,5.62336,9.55397,5.55766,0.0,0.0
2024-07-01,5.43356,0.0,6.84607,11.85792,12.28783,7.54129,0.0,0.0,0.0,0.0,11.11324,6.03888,6.62814,0.0,7.54122,0.0,6.93435,0.0,0.0,0.0,0.0,0.0,5.74895,9.91774,5.66021,0.0,0.0
2024-07-02,5.48804,0.0,6.93287,11.38004,11.88252,7.32792,0.0,0.0,0.0,0.0,10.57118,7.32824,6.60951,0.0,7.35974,0.0,7.08809,0.0,0.0,0.0,0.0,0.0,5.64002,9.91881,6.11446,0.0,0.0
2024-07-03,5.42195,0.0,6.73327,11.38141,12.09753,7.29896,0.0,0.0,0.0,0.0,10.55337,6.74667,6.35627,0.0,7.361,0.0,6.72902,0.0,0.0,0.0,0.0,0.0,6.42465,10.1823,5.88007,0.0,0.0
2024-07-04,5.24877,0.0,6.56111,11.48936,12.30678,7.57246,0.0,0.0,0.0,0.0,10.10394,5.92272,6.68053,0.0,7.57373,0.0,6.69699,0.0,0.0,0.0,0.0,0.0,5.82384,10.0451,5.83406,0.0,0.0
2024-07-05,5.1508,0.0,5.47216,11.32107,12.90593,6.4006,0.0,0.0,0.0,0.0,8.24371,6.48629,6.49132,0.0,6.39155,0.0,6.24797,0.0,0.0,0.0,0.0,0.0,4.79286,9.5466,6.14161,0.0,0.0
2024-07-06,5.11344,0.0,6.32501,11.32313,12.53593,6.33067,0.0,0.0,0.0,0.0,8.35268,6.60006,6.46487,0.0,6.26611,0.0,6.18796,0.0,0.0,0.0,0.0,0.0,4.9622,9.35567,6.13846,0.0,0.0
2024-07-07,5.14945,0.0,6.18919,11.15719,13.09733,6.20641,0.0,0.0,0.0,0.0,8.1793,6.53221,6.18393,0.0,6.20671,0.0,6.08491,0.0,0.0,0.0,0.0,0.0,4.85611,7.90352,6.41774,0.0,0.0
2024-07-08,5.05137,0.0,5.27048,10.67286,12.80964,6.19866,0.0,0.0,0.0,0.0,8.22205,6.38727,6.13794,0.0,6.28267,0.0,6.17145,0.0,0.0,0.0,0.0,0.0,5.67007,7.96033,6.45116,0.0,0.0
