,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-06-06,0.0,0.0,0.0,0.0,11.91186,0.00526,7.39565,26.00189,11.26,14.31714,0.0,30.54667,0.0,0.0,0.0,0.0,14.26367,15.1565,16.12974,0.0,0.0
2024-06-07,0.0,0.0,0.0,0.0,11.98452,2.35105,6.53898,25.36063,11.1671,14.48306,0.0,24.11397,0.0,0.0,0.0,0.0,11.51851,8.25579,9.01531,0.0,0.0
2024-06-08,0.0,0.0,0.0,0.0,7.4014,0.9942,6.67133,24.68142,11.53243,14.05493,0.0,19.33373,0.0,0.0,0.0,0.0,12.03498,8.90976,7.51661,0.0,0.0
2024-06-09,0.0,0.0,0.0,0.0,7.31854,1.18013,6.66965,23.89971,10.78145,14.14491,0.0,46.35642,0.0,0.0,0.0,0.0,14.98221,10.3381,6.75272,0.0,0.0
2024-06-10,0.0,0.0,0.0,0.0,7.44194,1.47043,6.80228,23.4354,11.32447,14.24906,0.0,16.18035,0.0,0.0,0.0,0.0,10.79973,7.80178,6.48192,0.0,0.0
2024-06-11,0.0,0.0,0.0,0.0,7.36741,1.72535,7.14781,23.00921,11.01917,13.66761,0.0,22.99839,0.0,0.0,0.0,0.0,11.02591,7.72897,6.49605,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,7.27602,2.09637,7.10526,22.62092,11.04877,14.22366,0.0,18.39695,0.0,0.0,0.0,0.0,11.3053,8.08735,6.38328,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.0,11.77067,2.14865,6.92413,17.16282,9.59313,13.80179,0.0,18.94758,0.0,0.0,0.0,0.0,11.57652,10.1883,15.88241,0.0,0.0
2024-06-14,0.0,0.0,0.0,0.0,7.36127,2.493,6.96671,16.99833,10.37139,13.437,0.0,18.55313,0.0,0.0,0.0,0.0,11.0467,8.15842,15.95935,0.0,0.0
2024-06-15,0.0,0.0,0.0,0.0,7.24692,3.36694,6.87093,16.96518,10.05626,13.05818,0.0,16.15704,0.0,0.0,0.0,0.0,10.95656,8.06381,12.54047,0.0,0.0
2024-06-16,0.0,0.0,0.0,0.0,7.24708,3.03678,6.85518,16.88487,9.58563,12.8929,0.0,14.36342,0.0,0.0,0.0,0.0,11.07044,7.37156,7.77684,0.0,0.0
2024-06-17,0.0,0.0,0.0,0.0,7.15784,3.13137,6.81018,16.80761,9.46241,12.724,0.0,14.23593,0.0,0.0,0.0,0.0,11.0382,7.15455,7.81937,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.0,6.72609,4.15604,6.55649,16.72533,9.78264,13.42586,0.0,13.28537,0.0,0.0,0.0,0.0,10.85581,7.32561,17.81354,0.0,0.0
2024-06-19,0.0,0.0,0.0,0.0,6.86607,4.29049,6.53168,16.6374,10.29672,13.25217,0.0,15.70987,0.0,0.0,0.0,0.0,11.07098,7.95116,10.21006,0.0,0.0
2024-06-20,0.0,0.0,0.0,0.0,7.19988,4.16419,6.17518,10.63614,11.29061,15.9068,0.0,15.61716,0.0,0.0,0.0,0.0,12.06384,8.02207,9.32642,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,7.13966,3.81004,4.82948,10.67666,11.41499,15.66351,0.0,13.16506,0.0,0.0,0.0,0.0,10.76387,7.27845,17.57748,0.0,0.0
2024-06-22,0.0,0.0,0.0,0.0,6.97633,3.2013,4.85682,10.64818,12.1602,14.11149,0.0,13.24539,0.0,0.0,0.0,0.0,10.52992,7.33483,7.82917,0.0,0.0
2024-06-23,0.0,0.0,0.0,0.0,7.43405,3.70649,4.87886,10.68723,11.88239,14.43235,0.0,12.87077,0.0,0.0,0.0,0.0,10.18417,6.98871,8.26651,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,7.32917,3.60453,4.93514,10.75506,11.28549,15.4998,0.0,13.34111,0.0,0.0,0.0,0.0,10.26134,7.14955,6.12339,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,7.18243,3.50117,4.82432,10.65084,11.3411,15.326,0.0,12.46198,0.0,0.0,0.0,0.0,9.41805,7.35676,6.49287,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,7.01275,3.66896,4.93061,10.63951,11.42435,15.19864,0.0,12.14943,0.0,0.0,0.0,0.0,9.24091,6.90563,6.24304,0.0,0.0
2024-06-27,0.0,0.0,0.0,0.0,6.54328,3.71205,4.81008,9.27133,12.17412,14.80985,0.0,11.62102,0.0,0.0,0.0,0.0,8.93426,6.66142,6.15107,0.0,0.0
2024-06-28,0.0,0.0,0.0,0.0,6.59879,4.15617,4.80133,9.2424,11.87406,13.2386,0.0,11.36236,0.0,0.0,0.0,0.0,8.40127,6.57414,6.19967,0.0,0.0
2024-06-29,0.0,0.0,0.0,0.0,6.57371,4.07408,4.6728,9.20472,11.39714,12.86356,0.0,10.3132,0.0,0.0,0.0,0.0,8.08574,7.54195,6.62518,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0,6.83022,3.6663,4.78929,9.19521,11.71927,12.40053,0.0,9.38796,0.0,0.0,0.0,0.0,7.94164,6.97304,6.44729,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,6.84607,3.91849,5.43356,9.23113,11.85792,12.28783,0.0,11.11324,0.0,0.0,0.0,0.0,8.45249,7.54129,6.03888,0.0,0.0
2024-07-02,0.0,0.0,0.0,0.0,6.93287,3.96184,5.48804,9.16741,11.38004,11.88252,0.0,10.57118,0.0,0.0,0.0,0.0,8.23511,7.32792,7.32824,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0,6.73327,4.04912,5.42195,9.23314,11.38141,12.09753,0.0,10.55337,0.0,0.0,0.0,0.0,7.93959,7.29896,6.74667,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0,6.56111,3.95632,5.24877,15.63481,11.48936,12.30678,0.0,10.10394,0.0,0.0,0.0,0.0,8.13482,7.57246,5.92272,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,5.47216,4.30788,5.1508,15.73597,11.32107,12.90593,0.0,8.24371,0.0,0.0,0.0,0.0,8.06744,6.4006,6.48629,0.0,0.0
2024-07-06,0.0,0.0,0.0,0.0,6.32501,4.39471,5.11344,15.68584,11.32313,12.53593,0.0,8.35268,0.0,0.0,0.0,0.0,7.91803,6.33067,6.60006,0.0,0.0
2024-07-07,0.0,0.0,0.0,0.0,6.18919,4.35281,5.14945,15.70203,11.15719,13.09733,0.0,8.1793,0.0,0.0,0.0,0.0,7.5545,6.20641,6.53221,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.0,5.27048,4.38575,5.05137,15.71214,10.67286,12.80964,0.0,8.22205,0.0,0.0,0.0,0.0,7.50236,6.19866,6.38727,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0,5.1349,4.422,5.05445,15.71947,10.21303,13.16074,0.0,8.03863,0.0,0.0,0.0,0.0,7.29542,6.03372,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,5.09996,4.38661,5.3917,15.67227,10.25508,12.65641,0.0,7.44783,0.0,0.0,0.0,0.0,7.31212,5.67387,8.68392,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,5.13968,4.40525,5.46939,8.03047,11.16325,12.11914,0.0,7.40792,0.0,0.0,0.0,0.0,7.22596,5.50863,7.49119,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0,5.24514,4.46724,5.47474,8.01643,11.14018,12.57131,0.0,6.79486,0.0,0.0,0.0,0.0,7.12619,4.97206,7.41551,0.0,0.0
2024-07-13,0.0,0.0,0.0,0.0,5.54226,4.3681,5.45464,7.95754,10.1378,12.2391,0.0,6.75874,0.0,0.0,0.0,0.0,7.06721,4.88086,6.2542,0.0,0.0
2024-07-14,0.0,0.0,0.0,0.0,5.60851,4.35462,5.44735,8.00922,11.54305,12.19846,0.0,6.85001,0.0,0.0,0.0,0.0,8.56489,4.89611,6.30686,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,5.80756,4.10199,5.96639,7.99687,10.89325,12.13404,0.0,6.1802,0.0,0.0,0.0,0.0,7.84407,4.85496,6.18051,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,5.72192,4.14692,5.97344,7.97769,11.07402,11.70035,0.0,7.07714,0.0,0.0,0.0,0.0,7.7277,5.21845,6.53068,0.0,0.0
2024-07-17,0.0,0.0,0.0,0.0,5.71049,4.45853,5.81522,7.98929,11.67393,11.70031,0.0,7.54954,0.0,0.0,0.0,0.0,7.65134,5.41462,6.45089,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,5.88562,4.40549,5.9535,10.20351,11.68212,11.73981,0.0,7.43588,0.0,0.0,0.0,0.0,7.39658,5.68201,6.70831,0.0,0.0
2024-07-19,0.0,0.0,0.0,0.0,5.93459,5.35892,5.89929,10.0452,12.05723,12.25593,0.0,6.21271,0.0,0.0,0.0,0.0,7.07901,5.18651,6.38871,0.0,0.0
2024-07-20,0.0,0.0,0.0,0.0,6.57736,6.26092,5.80992,9.97202,12.099,12.2674,0.0,6.60925,0.0,0.0,0.0,0.0,7.45928,5.01515,6.3523,0.0,0.0
2024-07-21,0.0,0.0,0.0,0.0,6.53417,5.35444,5.78935,10.03944,12.1806,12.28614,0.0,6.51114,0.0,0.0,0.0,0.0,7.46239,5.2764,6.68716,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.0,6.44345,5.32732,5.8681,10.04359,12.19112,12.29435,0.0,7.37346,0.0,0.0,0.0,0.0,6.83791,5.68872,11.88244,0.0,0.0
2024-07-23,0.0,0.0,0.0,0.0,6.6612,5.35982,5.82085,9.98731,11.74961,11.83156,0.0,7.0095,0.0,0.0,0.0,0.0,6.55114,5.08024,10.50798,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,6.61459,5.14424,5.75522,10.01591,11.93024,11.81729,0.0,7.21822,0.0,0.0,0.0,0.0,8.92635,5.40814,19.8883,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,4.77023,3.82238,4.12285,12.18478,11.2587,11.40763,0.0,6.69094,0.0,0.0,0.0,0.0,7.92432,5.22324,7.05305,0.0,0.0
2024-07-26,0.0,0.0,0.0,0.0,4.58593,4.22862,4.21088,12.23029,11.33369,11.48257,0.0,6.68048,0.0,0.0,0.0,0.0,7.68758,5.15032,7.06603,0.0,12.13151
2024-07-27,0.0,0.0,0.0,0.0,4.95808,3.9425,4.28965,12.28446,11.17751,11.45623,0.0,6.85141,0.0,0.0,0.0,0.0,9.2275,5.22822,7.16586,0.0,20.38838
2024-07-28,0.0,0.0,0.0,0.0,5.04408,4.03557,4.31385,12.29466,11.15961,11.52891,0.0,6.81173,0.0,0.0,0.0,0.0,9.15626,5.40641,6.95535,0.0,13.3593
2024-07-29,0.0,0.0,0.0,0.0,5.15556,4.29782,4.31128,12.33605,11.54819,11.56139,0.0,6.65794,0.0,0.0,0.0,0.0,11.95422,5.14357,6.65293,0.0,26.63577
2024-07-30,0.0,0.0,0.0,0.0,5.10995,3.92858,4.38681,12.40088,11.53098,10.7761,0.0,7.36154,0.0,0.0,0.0,0.0,7.88018,5.38586,6.68489,0.0,13.1467
2024-07-31,0.0,0.0,0.0,0.0,5.03158,3.19792,4.54451,12.43764,11.43943,10.77101,0.0,11.91444,0.0,0.0,0.0,0.0,8.77861,0.0,6.62037,0.0,11.33491
2024-08-01,0.0,0.0,0.0,0.0,4.66863,3.6392,4.44735,13.6417,11.40758,11.58414,0.0,9.06916,0.0,0.0,0.0,0.0,7.91418,4.94475,6.55059,0.0,17.25944
2024-08-02,0.0,0.0,0.0,0.0,4.63197,3.34581,4.22133,13.66388,11.26985,11.93129,0.0,7.18074,0.0,0.0,0.0,0.0,7.72226,5.23257,6.23321,0.0,12.97877
