date,aave-v3_USDT_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDTB_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,aave-v3_USDC_Avalanche,morpho-blue_SMUSDC_Base,morpho-blue_VBSHUSDC_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,fluid-lending_USDC_Arbitrum,aave-v3_USDC_Base,morpho-blue_MWUSDC_Base,aave-v3_USDT_Avalanche,morpho-blue_SUSDS_Ethereum,fluid-lending_SUSDS_Arbitrum
2024-06-06,112461279,0.0,102232913,62356312,48943416,48579218.0,0.0,0.0,0.0,0.0,2213621.0,5003929.0,22743693,0.0,15212145.0,0.0,5785265.0,0.0,0.0,0.0,0.0,0.0,2230696,0.0,2468510.0,0.0,0.0
2024-06-07,200778997,0.0,102455100,62749485,48357872,50304431.0,0.0,0.0,0.0,0.0,2685301.0,5146540.0,25156818,0.0,15216157.0,0.0,5266842.0,0.0,0.0,0.0,0.0,0.0,3926402,0.0,2957069.0,0.0,0.0
2024-06-08,190252359,0.0,117202086,60761683,49852121,50309857.0,0.0,0.0,0.0,0.0,4204093.0,5151858.0,25684765,0.0,15341963.0,0.0,6007170.0,0.0,0.0,0.0,0.0,0.0,3807335,0.0,2955789.0,0.0,0.0
2024-06-09,190260163,0.0,125041767,64968955,49513421,47030614.0,0.0,0.0,0.0,0.0,5543265.0,5154306.0,26334297,0.0,15355138.0,0.0,5551369.0,0.0,0.0,0.0,0.0,0.0,4170353,0.0,2844898.0,0.0,0.0
2024-06-10,175877008,0.0,113890607,61877500,49131852,45134333.0,0.0,0.0,0.0,0.0,8403867.0,5190553.0,26781387,0.0,15356898.0,0.0,5188853.0,0.0,0.0,0.0,0.0,0.0,3792195,0.0,2614782.0,0.0,0.0
2024-06-11,141167836,0.0,120888480,63591918,51266501,47085884.0,0.0,0.0,0.0,0.0,4871001.0,5106567.0,25990574,0.0,15402751.0,0.0,5120125.0,0.0,0.0,0.0,0.0,0.0,2479016,0.0,3850831.0,0.0,0.0
2024-06-12,145065106,0.0,130049490,63548439,49265089,45191229.0,0.0,0.0,0.0,0.0,6571632.0,5298229.0,26695155,0.0,15357015.0,0.0,6088293.0,0.0,0.0,0.0,0.0,0.0,4397758,0.0,3563339.0,0.0,0.0
2024-06-13,165133093,0.0,102746532,72998507,50685270,45212043.0,0.0,0.0,0.0,0.0,6217226.0,5464121.0,27446347,0.0,15364357.0,0.0,5781133.0,0.0,0.0,0.0,0.0,0.0,3732636,0.0,3793424.0,0.0,0.0
2024-06-14,161095973,0.0,120673708,67563763,52096822,45257565.0,0.0,0.0,0.0,0.0,6319325.0,5298663.0,27584744,0.0,15351960.0,0.0,5524134.0,0.0,0.0,0.0,0.0,0.0,4061127,0.0,4145617.0,0.0,0.0
2024-06-15,170129836,0.0,131041597,69680941,53620709,45283830.0,0.0,0.0,0.0,0.0,7466275.0,5369571.0,31333300,0.0,15365096.0,0.0,5883236.0,0.0,0.0,0.0,0.0,0.0,5918315,0.0,4170908.0,0.0,0.0
2024-06-16,170770587,0.0,131313557,73102143,54290938,47303451.0,0.0,0.0,0.0,0.0,9157760.0,5401050.0,29734207,0.0,15320567.0,0.0,5342313.0,0.0,0.0,0.0,0.0,0.0,6638935,0.0,4138212.0,0.0,0.0
2024-06-17,175425528,0.0,139648106,74040593,55025806,47726601.0,0.0,0.0,0.0,0.0,9207174.0,5370562.0,30232346,0.0,15415559.0,0.0,5575602.0,0.0,0.0,0.0,0.0,0.0,5166965,0.0,4752502.0,0.0,0.0
2024-06-18,202995234,0.0,181138079,71592984,52122324,46283236.0,0.0,0.0,0.0,0.0,10790200.0,5509616.0,25704320,0.0,15134657.0,0.0,6155956.0,0.0,0.0,0.0,0.0,0.0,4409260,1719060.0,4542715.0,0.0,0.0
2024-06-19,205340935,0.0,167322811,68021175,52815188,46301914.0,0.0,0.0,0.0,0.0,8447036.0,5459026.0,29091896,0.0,14968429.0,0.0,5854436.0,0.0,0.0,0.0,0.0,0.0,5490238,5216307.0,2969685.0,0.0,0.0
2024-06-20,247549545,0.0,136342133,69817212,49501271,46262036.0,0.0,0.0,0.0,0.0,8551301.0,5455003.0,27250462,0.0,14967790.0,0.0,5997537.0,0.0,0.0,0.0,0.0,0.0,5472230,5588904.0,4183558.0,0.0,0.0
2024-06-21,446655204,0.0,141309534,69053405,50269450,46292528.0,0.0,0.0,0.0,0.0,11798696.0,5463729.0,79483032,0.0,14968130.0,0.0,7059170.0,0.0,0.0,0.0,0.0,0.0,5052059,5722554.0,4674164.0,0.0,0.0
2024-06-22,444639255,0.0,157659873,64834435,55833743,46280264.0,0.0,0.0,0.0,0.0,11659133.0,5397636.0,71866374,0.0,14966330.0,0.0,7151393.0,0.0,0.0,0.0,0.0,0.0,4722976,7102345.0,4312497.0,0.0,0.0
2024-06-23,441996071,0.0,112548080,66339557,54554531,46589809.0,0.0,0.0,0.0,0.0,11821626.0,5411355.0,64821610,0.0,15976878.0,0.0,6439279.0,0.0,0.0,0.0,0.0,0.0,6224700,7527929.0,4663558.0,0.0,0.0
2024-06-24,427741703,0.0,119422876,69810297,50781383,46316203.0,0.0,0.0,0.0,0.0,10955940.0,5094316.0,56660979,0.0,15980244.0,0.0,6519902.0,0.0,0.0,0.0,0.0,0.0,5484421,7603463.0,5631474.0,0.0,0.0
2024-06-25,450912157,0.0,133375218,69492608,51400548,46269805.0,0.0,0.0,0.0,0.0,12819699.0,4784683.0,55529128,0.0,15956476.0,0.0,8853738.0,0.0,0.0,0.0,0.0,0.0,5875844,7231709.0,5153988.0,0.0,0.0
2024-06-26,433650999,0.0,150486571,69010494,51820679,48268568.0,0.0,0.0,0.0,0.0,12984571.0,4786934.0,52994367,0.0,15913027.0,0.0,8408346.0,0.0,0.0,0.0,0.0,0.0,5483855,6886928.0,5078541.0,0.0,0.0
2024-06-27,461295353,0.0,199713790,64740757,53099481,48728629.0,0.0,0.0,0.0,0.0,13752569.0,4780554.0,47472082,0.0,15909189.0,0.0,6528341.0,0.0,0.0,0.0,0.0,0.0,5359751,7865347.0,4779071.0,0.0,0.0
2024-06-28,464542033,0.0,193948405,66375315,59319091,48458848.0,0.0,0.0,0.0,0.0,14820031.0,4783570.0,46203912,0.0,15721551.0,0.0,6210817.0,0.0,0.0,0.0,0.0,0.0,4847649,12080363.0,5537023.0,0.0,0.0
2024-06-29,493294161,0.0,196734790,69175234,61187474,48605313.0,0.0,0.0,0.0,0.0,14615281.0,4779379.0,37807322,0.0,15793566.0,0.0,6197236.0,0.0,0.0,0.0,0.0,0.0,5684438,11736469.0,5785714.0,0.0,0.0
2024-06-30,472094768,0.0,171077445,67408408,63314596,51418015.0,0.0,0.0,0.0,0.0,15776851.0,4782649.0,33338282,0.0,15796472.0,0.0,5791115.0,0.0,0.0,0.0,0.0,0.0,6532607,11493428.0,6106672.0,0.0,0.0
2024-07-01,380934176,0.0,171086813,66487191,64030843,50308443.0,0.0,0.0,0.0,0.0,16643666.0,4745320.0,28764911,0.0,15913900.0,0.0,6816927.0,0.0,0.0,0.0,0.0,0.0,6242782,11536854.0,5861400.0,0.0,0.0
