,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-06-06,0.0,0.0,0.0,0.0,102232913,10795934,112461279,1300228357,62356312,48943416,0.0,2213621.0,0.0,0.0,0.0,0.0,450063014.0,48579218.0,5003929.0,0.0,0.0
2024-06-07,0.0,0.0,0.0,0.0,102455100,10992282,200778997,1329644669,62749485,48357872,0.0,2685301.0,0.0,0.0,0.0,0.0,499844422.0,50304431.0,5146540.0,0.0,0.0
2024-06-08,0.0,0.0,0.0,0.0,117202086,38550728,190252359,1362463072,60761683,49852121,0.0,4204093.0,0.0,0.0,0.0,0.0,499920387.0,50309857.0,5151858.0,0.0,0.0
2024-06-09,0.0,0.0,0.0,0.0,125041767,36745557,190260163,1402533535,64968955,49513421,0.0,5543265.0,0.0,0.0,0.0,0.0,499611773.0,47030614.0,5154306.0,0.0,0.0
2024-06-10,0.0,0.0,0.0,0.0,113890607,34209888,175877008,1427595183,61877500,49131852,0.0,8403867.0,0.0,0.0,0.0,0.0,499699941.0,45134333.0,5190553.0,0.0,0.0
2024-06-11,0.0,0.0,0.0,0.0,120888480,32039681,141167836,1451486797,63591918,51266501,0.0,4871001.0,0.0,0.0,0.0,0.0,489005578.0,47085884.0,5106567.0,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,130049490,29476835,145065106,1474034683,63548439,49265089,0.0,6571632.0,0.0,0.0,0.0,0.0,500332303.0,45191229.0,5298229.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.0,102746532,29032790,165133093,1486723412,72998507,50685270,0.0,6217226.0,0.0,0.0,0.0,0.0,501067346.0,45212043.0,5464121.0,0.0,0.0
2024-06-14,0.0,0.0,0.0,0.0,120673708,26752919,161095973,1500048218,67563763,52096822,0.0,6319325.0,0.0,0.0,0.0,0.0,500147008.0,45257565.0,5298663.0,0.0,0.0
2024-06-15,0.0,0.0,0.0,0.0,131041597,21662699,170129836,1502764878,69680941,53620709,0.0,7466275.0,0.0,0.0,0.0,0.0,501423499.0,45283830.0,5369571.0,0.0,0.0
2024-06-16,0.0,0.0,0.0,0.0,131313557,23510771,170770587,1509390805,73102143,54290938,0.0,9157760.0,0.0,0.0,0.0,0.0,499701277.0,47303451.0,5401050.0,0.0,0.0
2024-06-17,0.0,0.0,0.0,0.0,139648106,23103333,175425528,1515824414,74040593,55025806,0.0,9207174.0,0.0,0.0,0.0,0.0,500720733.0,47726601.0,5370562.0,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.0,181138079,17513341,202995234,1522741125,71592984,52122324,0.0,10790200.0,0.0,0.0,0.0,0.0,500111745.0,46283236.0,5509616.0,0.0,0.0
2024-06-19,0.0,0.0,0.0,0.0,167322811,16763901,205340935,1530209300,68021175,52815188,0.0,8447036.0,0.0,0.0,0.0,0.0,501505456.0,46301914.0,5459026.0,0.0,0.0
2024-06-20,0.0,0.0,0.0,0.0,136342133,17588004,247549545,1536302189,69817212,49501271,0.0,8551301.0,0.0,0.0,0.0,0.0,500053473.0,46262036.0,5455003.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,141309534,19097134,446655204,1530751641,69053405,50269450,0.0,11798696.0,0.0,0.0,0.0,0.0,500862711.0,46292528.0,5463729.0,0.0,0.0
2024-06-22,0.0,0.0,0.0,0.0,157659873,22590283,444639255,1534648997,64834435,55833743,0.0,11659133.0,0.0,0.0,0.0,0.0,500787644.0,46280264.0,5397636.0,0.0,0.0
2024-06-23,0.0,0.0,0.0,0.0,112548080,19747426,441996071,1529309744,66339557,54554531,0.0,11821626.0,0.0,0.0,0.0,0.0,500380041.0,46589809.0,5411355.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,119422876,20218137,427741703,1520129843,69810297,50781383,0.0,10955940.0,0.0,0.0,0.0,0.0,499808115.0,46316203.0,5094316.0,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,133375218,20927469,450912157,1534284244,69492608,51400548,0.0,12819699.0,0.0,0.0,0.0,0.0,500155807.0,46269805.0,4784683.0,0.0,0.0
2024-06-26,0.0,0.0,0.0,0.0,150486571,20043965,433650999,1535839067,69010494,51820679,0.0,12984571.0,0.0,0.0,0.0,0.0,500725036.0,48268568.0,4786934.0,0.0,0.0
2024-06-27,0.0,0.0,0.0,0.0,199713790,19784406,461295353,1536586590,64740757,53099481,0.0,13752569.0,0.0,0.0,0.0,0.0,500326366.0,48728629.0,4780554.0,0.0,0.0
2024-06-28,0.0,0.0,0.0,0.0,193948405,17429518,464542033,1541193282,66375315,59319091,0.0,14820031.0,0.0,0.0,0.0,0.0,500332170.0,48458848.0,4783570.0,0.0,0.0
