date,weighted_apy,total_tvl
2024-06-06,11.59,430230997.0
2024-06-07,9.43,525001014.0
2024-06-08,8.61,531531079.0
2024-06-09,8.92,541768546.0
2024-06-10,8.53,513239835.0
2024-06-11,8.72,486821484.0
2024-06-12,8.61,501090774.0
2024-06-13,9.64,504574689.0
2024-06-14,8.55,514973401.0
2024-06-15,8.29,545263614.0
2024-06-16,8.11,552513720.0
2024-06-17,7.99,567587344.0
2024-06-18,7.86,628097641.0
2024-06-19,7.89,617299076.0
2024-06-20,8.07,626938982.0
2024-06-21,6.75,887801655.0
2024-06-22,6.71,896426254.0
2024-06-23,6.78,844914983.0
2024-06-24,6.87,828003201.0
2024-06-25,6.77,867655601.0
2024-06-26,6.81,865773880.0
2024-06-27,6.51,934024914.0
2024-06-28,6.55,942848608.0
2024-06-29,6.47,971396377.0
2024-06-30,6.58,924931308.0
2024-07-01,7.17,829373226.0
2024-07-02,7.19,817820962.0
2024-07-03,7.09,847444991.0
2024-07-04,6.96,870292285.0
2024-07-05,6.4,1008140785.0
2024-07-06,6.67,911106841.0
2024-07-07,6.63,924538291.0
2024-07-08,6.21,1048084788.0
2024-07-09,6.09,1071204766.0
2024-07-10,6.24,1025593765.0
2024-07-11,6.28,1007992679.0
2024-07-12,6.2,1005722910.0
2024-07-13,6.35,975331405.0
2024-07-14,6.44,956995407.0
2024-07-15,6.73,865636147.0
2024-07-16,6.73,879418144.0
2024-07-17,6.71,901347630.0
2024-07-18,6.85,875612269.0
2024-07-19,6.75,873860726.0
2024-07-20,6.95,824685411.0
2024-07-21,6.99,832107268.0
2024-07-22,7.06,835316783.0
2024-07-23,6.99,827584049.0
2024-07-24,6.97,846549664.0
2024-07-25,5.77,857148292.0
2024-07-26,5.76,875415550.0
2024-07-27,6.07,801649780.0
2024-07-28,6.15,799855974.0
2024-07-29,6.37,794393957.0
2024-07-30,6.26,797364975.0
2024-07-31,6.23,785230902.0
2024-08-01,6.25,858830440.0
2024-08-02,5.94,900505548.0
2024-08-03,6.14,806222114.0
2024-08-04,5.89,871597921.0
2024-08-05,5.62,1122097339.0
2024-08-06,4.99,1090437558.0
2024-08-07,4.87,1091934431.0
2024-08-08,5.61,999372362.0
2024-08-09,5.24,981371259.0
2024-08-10,5.12,1017154571.0
2024-08-11,4.89,1091810375.0
2024-08-12,4.92,1111036506.0
2024-08-13,4.92,1092191701.0
2024-08-14,4.93,1095568466.0
2024-08-15,4.96,1073004731.0
2024-08-16,4.86,1118659182.0
2024-08-17,5.03,1056408926.0
2024-08-18,4.84,1045121791.0
2024-08-19,4.76,1079557622.0
2024-08-20,4.74,1056539288.0
2024-08-21,4.84,1046732587.0
2024-08-22,4.95,1030928733.0
2024-08-23,4.98,1003964567.0
2024-08-24,5.09,969448607.0
2024-08-25,5.2,937207789.0
2024-08-26,5.23,931394445.0
2024-08-27,5.03,986560690.0
2024-08-28,4.97,1019637012.0
2024-08-29,4.93,1037882688.0
2024-08-30,4.72,1104519779.0
2024-08-31,4.71,1082926715.0
2024-09-01,4.66,1074320579.0
2024-09-02,4.56,1145715605.0
2024-09-03,4.57,1169933321.0
2024-09-04,4.53,1175183308.0
2024-09-05,4.67,1142201885.0
2024-09-06,4.25,1247643667.0
2024-09-07,4.32,1203053229.0
2024-09-08,4.25,1038113194.0
2024-09-09,4.23,1054647675.0
2024-09-10,3.74,1245698030.0
2024-09-11,3.76,1247088762.0
2024-09-12,3.77,1240068089.0
2024-09-13,3.97,1222283161.0
2024-09-14,3.94,1198274926.0
2024-09-15,4.56,1174559354.0
2024-09-16,5.48,1128119205.0
2024-09-17,4.59,1153086494.0
